gene,class
RPL9,decreasing
RPS3A,decreasing
RPL5,decreasing
RPS7,decreasing
RPL34,decreasing
RPL9,decreasing
RPS19,decreasing
RPS13,decreasing
RPS11,decreasing
PSMD1,decreasing
RPL34,decreasing
COPS4,decreasing
PSMB2,decreasing
RPS3A,decreasing
RPS13,decreasing
RPL11,decreasing
PSMB2,decreasing
RPS9,decreasing
RPL3,decreasing
PSMB2,decreasing
COPB1,decreasing
RPL27,decreasing
RPL11,decreasing
RPL27,decreasing
COPB1,decreasing
RPL11,decreasing
RPL11,decreasing
RPL34,decreasing
RPL3,decreasing
RPS8,decreasing
PSMD1,decreasing
RPL36,decreasing
POLR2D,decreasing
PSMA3,decreasing
RPL5,decreasing
PSMA3,decreasing
NUP93,decreasing
RPS8,decreasing
RPL27,decreasing
POLR2D,decreasing
RPL6,decreasing
RPL36,decreasing
RPL36,decreasing
RPS11,decreasing
POLR2A,decreasing
RPS19,decreasing
RPS13,decreasing
COPS4,decreasing
POLR2F,decreasing
RPS3A,decreasing
PSMC4,decreasing
PSMD11,decreasing
PSMD6,decreasing
NUP93,decreasing
RPS9,decreasing
NUP98,decreasing
PSMD6,decreasing
COPZ1,decreasing
POLA1,decreasing
PSMD7,decreasing
TPH2,inactive
RPS8,decreasing
RPL3,decreasing
COPA,decreasing
RPL30,decreasing
RPL35A,decreasing
RPL5,decreasing
PSMB3,decreasing
RPL6,decreasing
RPS3A,decreasing
COPS6,decreasing
RPS9,decreasing
NUP133,decreasing
RPL6,decreasing
RPS24,decreasing
RPL5,decreasing
POLR2A,decreasing
COPB1,decreasing
POLR2D,decreasing
NUP93,decreasing
NUP133,decreasing
NUP205,decreasing
RPS11,decreasing
COPS6,decreasing
COPB1,decreasing
COPZ1,decreasing
PSMA3,decreasing
PSMD1,decreasing
POLR2A,decreasing
RPL18A,decreasing
RPS8,decreasing
NUP98,decreasing
PSMD7,decreasing
PSMD6,decreasing
PSMD11,decreasing
NUP205,decreasing
PSMC1,decreasing
RPTN,inactive
POLR2D,decreasing
RPS27,decreasing
RPL18A,decreasing
NUP93,decreasing
RPL30,decreasing
COPS6,decreasing
COPA,decreasing
RPL3,decreasing
RPS24,decreasing
PSMD7,decreasing
RPL9,decreasing
RPL11,decreasing
RPS24,decreasing
CABP5,inactive
RPS9,decreasing
PSMB3,decreasing
NLRP5,inactive
RPL27,decreasing
COPA,decreasing
POLR2A,decreasing
NUP98,decreasing
PSMB3,decreasing
RPS13,decreasing
RPL5,decreasing
RPL35A,decreasing
COPS2,decreasing
POLA1,decreasing
RXFP2,inactive
COPS4,decreasing
PSMB3,decreasing
DMRTC2,inactive
NLRP5,inactive
RPL18A,decreasing
PSMD11,decreasing
PSMC1,decreasing
RPS27,decreasing
RPL36,decreasing
POLA1,decreasing
IL1F10,inactive
RPS24,decreasing
RPL35A,decreasing
PSMC4,decreasing
NUP54,decreasing
PSMC4,decreasing
RPS27,decreasing
RPL6,decreasing
KRT77,inactive
COPS2,decreasing
RPL34,decreasing
RPS11,decreasing
RPL6,decreasing
POLR2A,decreasing
POLR2F,decreasing
TRIM42,inactive
PSMC1,decreasing
POLR2D,decreasing
PSMA3,decreasing
COPS4,decreasing
NPHS2,inactive
NUP205,decreasing
IL22,inactive
POLR2F,decreasing
NUP54,decreasing
CRYGB,inactive
FCRL4,inactive
PSMD11,decreasing
IL1F10,inactive
COPS8,decreasing
PSMC4,decreasing
TAS2R9,inactive
RPS27,decreasing
NUP54,decreasing
NUP98,decreasing
COPB1,decreasing
NUP133,decreasing
CYP7A1,inactive
COPS2,decreasing
RPS24,decreasing
KRT9,inactive
CRYGB,inactive
COPS8,decreasing
PSMB2,decreasing
RPL30,decreasing
COPS8,decreasing
NUP98,decreasing
COPS2,decreasing
SPATA16,inactive
VN1R2,inactive
RPS27,decreasing
TRIM42,inactive
PSMC1,decreasing
MRGPRD,inactive
IL22,inactive
FAM71B,inactive
POLR2F,decreasing
PSMC2,decreasing
NLRP5,inactive
COPS4,decreasing
KRT74,inactive
PSMB3,decreasing
POLR2F,decreasing
TAS2R13,inactive
KRT9,inactive
NLRP5,inactive
COPZ1,decreasing
POU4F2,inactive
TAAR8,inactive
LHX5,inactive
TGM6,inactive
SPATA16,inactive
PSMD1,decreasing
PLA2G2E,inactive
TAS2R9,inactive
PIWIL3,inactive
OR12D2,inactive
RPL9,decreasing
CRYGB,inactive
OC90,inactive
FAM71B,inactive
IL1F10,inactive
IL22,inactive
COPS2,decreasing
HTR3D,inactive
TGM6,inactive
FCRL4,inactive
ADH7,inactive
OR12D2,inactive
TAS2R13,inactive
PSMC1,decreasing
OR9Q2,inactive
LYZL6,inactive
TPH2,inactive
RPL18A,decreasing
POU4F2,inactive
COPZ1,decreasing
OTUD6A,inactive
RPL30,decreasing
KRT74,inactive
OC90,inactive
PIWIL3,inactive
PSMC2,decreasing
CRYGB,inactive
NUP133,decreasing
FAM71B,inactive
NLRP5,inactive
NPSR1,inactive
