dataset,count_type,gene,sgRNA,group,sample_id,read_count
CRISPR.RT112,sizeFactor,RPS19,RPS19-10,T0,T0_1,9439.96281253855
CRISPR.RT112,sizeFactor,NUP93,NUP93-4,T0,T0_1,8413.436404534603
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-2,T0,T0_1,8724.083510841128
CRISPR.RT112,sizeFactor,RPS3A,RPS3A-3,T0,T0_1,8273.413380497932
CRISPR.RT112,sizeFactor,PSMB3,PSMB3-3,T0,T0_1,6893.583845619998
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-5,T0,T0_1,7114.282386816872
CRISPR.RT112,sizeFactor,RPS8,RPS8-8,T0,T0_1,6490.20625981899
CRISPR.RT112,sizeFactor,RPL36,RPL36-3,T0,T0_1,5552.701112129748
CRISPR.RT112,sizeFactor,RPS13,RPS13-4,T0,T0_1,5344.057533267158
CRISPR.RT112,sizeFactor,RPS11,RPS11-2,T0,T0_1,8757.466483459142
CRISPR.RT112,sizeFactor,NUP93,NUP93-7,T0,T0_1,7373.000424606485
CRISPR.RT112,sizeFactor,PSMC1,PSMC1-10,T0,T0_1,6291.763033700792
CRISPR.RT112,sizeFactor,RPS9,RPS9-10,T0,T0_1,6505.043136538107
CRISPR.RT112,sizeFactor,COPB1,COPB1-3,T0,T0_1,5769.690434146843
CRISPR.RT112,sizeFactor,PSMC1,PSMC1-6,T0,T0_1,6953.858657291413
CRISPR.RT112,sizeFactor,PSMC1,PSMC1-9,T0,T0_1,7252.450801263654
CRISPR.RT112,sizeFactor,RPL5,RPL5-6,T0,T0_1,6568.099862594357
CRISPR.RT112,sizeFactor,RPL11,RPL11-2,T0,T0_1,6120.211646635995
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-1,T0,T0_1,5801.218797174967
CRISPR.RT112,sizeFactor,RPS11,RPS11-10,T0,T0_1,5257.818187337287
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-13,T0,T0_1,5700.142574525979
CRISPR.RT112,sizeFactor,NUP93,NUP93-1,T0,T0_1,6505.970441333052
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-18,T0,T0_1,8169.555243464109
CRISPR.RT112,sizeFactor,RPS8,RPS8-7,T0,T0_1,5097.394457811828
CRISPR.RT112,sizeFactor,PSMC1,PSMC1-8,T0,T0_1,6399.330389914394
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-7,T0,T0_1,5422.8784408374695
CRISPR.RT112,sizeFactor,COPA,COPA-8,T0,T0_1,4822.912238508153
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-6,T0,T0_1,5306.038036674418
CRISPR.RT112,sizeFactor,RPL5,RPL5-5,T0,T0_1,6065.500663734249
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-2,T0,T0_1,6249.107013133329
CRISPR.RT112,sizeFactor,PSMB3,PSMB3-9,T0,T0_1,5100.176372196663
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-9,T0,T0_1,4592.940649361831
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-2,T0,T0_1,4391.715508858799
CRISPR.RT112,sizeFactor,PSMA3,PSMA3-6,T0,T0_1,4987.972492008336
CRISPR.RT112,sizeFactor,RPL34,RPL34-1,T0,T0_1,4970.353700904384
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-10,T0,T0_1,4979.626748853832
CRISPR.RT112,sizeFactor,RPS24,RPS24-7,T0,T0_1,6849.073215462646
CRISPR.RT112,sizeFactor,NUP93,NUP93-2,T0,T0_1,4597.5771733365555
CRISPR.RT112,sizeFactor,PSMC4,PSMC4-5,T0,T0_1,10273.609823193969
CRISPR.RT112,sizeFactor,RPL27,RPL27-10,T0,T0_1,4573.467248667989
CRISPR.RT112,sizeFactor,RPL36,RPL36-1,T0,T0_1,4651.360851443356
CRISPR.RT112,sizeFactor,RPL9,RPL9-3,T0,T0_1,4793.238485069918
CRISPR.RT112,sizeFactor,RPS19,RPS19-2,T0,T0_1,5400.623125758793
CRISPR.RT112,sizeFactor,PSMC2,PSMC2-14,T0,T0_1,5625.030886135446
CRISPR.RT112,sizeFactor,NUP54,NUP54-18,T0,T0_1,4266.529361541245
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-12,T0,T0_1,3963.3006935942794
CRISPR.RT112,sizeFactor,COPS4,COPS4-9,T0,T0_1,7066.989842274685
CRISPR.RT112,sizeFactor,RPS11,RPS11-1,T0,T0_1,4338.8591355469425
CRISPR.RT112,sizeFactor,POLR2F,POLR2F-1,T0,T0_1,8794.558675256936
CRISPR.RT112,sizeFactor,NUP133,NUP133-7,T0,T0_1,4635.596669929294
CRISPR.RT112,sizeFactor,RPL11,RPL11-8,T0,T0_1,3581.251118077002
CRISPR.RT112,sizeFactor,PSMB2,PSMB2-3,T0,T0_1,4224.800645768726
CRISPR.RT112,sizeFactor,RPL35A,RPL35A-5,T0,T0_1,5351.475971626716
CRISPR.RT112,sizeFactor,RPS13,RPS13-9,T0,T0_1,4574.394553462934
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-18,T0,T0_1,5045.465389294916
CRISPR.RT112,sizeFactor,PSMD6,PSMD6-4,T0,T0_1,4933.26150910659
CRISPR.RT112,sizeFactor,RPL35A,RPL35A-4,T0,T0_1,3558.9958029983254
CRISPR.RT112,sizeFactor,RPS19,RPS19-8,T0,T0_1,5293.983074340135
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-2,T0,T0_1,4412.116214347586
CRISPR.RT112,sizeFactor,RPS13,RPS13-8,T0,T0_1,4965.717176929659
CRISPR.RT112,sizeFactor,COPZ1,COPZ1-17,T0,T0_1,7705.902845991684
CRISPR.RT112,sizeFactor,RPS8,RPS8-4,T0,T0_1,3559.9231077932704
CRISPR.RT112,sizeFactor,RPL35A,RPL35A-1,T0,T0_1,3627.6163578242445
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-5,T0,T0_1,3852.0241182008976
CRISPR.RT112,sizeFactor,RPL18A,RPL18A-8,T0,T0_1,4467.754502044277
CRISPR.RT112,sizeFactor,PSMD11,PSMD11-9,T0,T0_1,5254.108968157508
CRISPR.RT112,sizeFactor,POLR2A,POLR2A-2,T0,T0_1,3649.8716729029206
CRISPR.RT112,sizeFactor,POLR2D,POLR2D-4,T0,T0_1,6050.663787015132
CRISPR.RT112,sizeFactor,COPS4,COPS4-6,T0,T0_1,5892.094667079563
CRISPR.RT112,sizeFactor,RPL34,RPL34-5,T0,T0_1,3920.6446730268162
CRISPR.RT112,sizeFactor,RPL11,RPL11-7,T0,T0_1,6659.903037293897
CRISPR.RT112,sizeFactor,NUP54,NUP54-19,T0,T0_1,4534.520447280305
