"gene"	"CC1"	"CC2"	"DESeq2"	"MAGeCK"	"PBNPA"	"ScreenBEAM"	"sgRSEA"	"essential"
"ABCG8"	1	1	6.10971219966715e-89	0.999995	0.999999998342361	1	1	0
"ADH7"	1	1	2.85979707932115e-27	0.999995	0.999999998342361	1	1	0
"CABP5"	1	1	3.34849142229321e-34	0.999995	0.999999998342361	1	1	0
"COPA"	1.04805143825698e-28	0	0	0.006035	2.91651316814412e-05	0.000513091996763288	0.00185118834348501	1
"COPB1"	2.35564420737488e-32	0	0	0.006035	5.7018335036263e-05	3.270331122122e-05	0.00185118834348501	1
"COPS2"	3.15414399468044e-22	3.40968623264715e-05	0	0.385085	0.00805851297047821	0.00720440685246234	0.0199928341096381	1
"COPS4"	4.65050441240973e-27	0	0	0.006035	0.000817683475869152	0.000196570532761259	0.00185118834348501	1
"COPS6"	1.05503616003923e-19	0.168723476314438	1.58288254980384e-201	0.133844	0.0556324376709788	0.0302019509462673	0.427916800241377	1
"COPS8"	1.26899619248771e-28	0.916236882364856	0	0.999995	0.814526985601922	0.161794625037293	1	1
"COPZ1"	3.04574140473874e-27	0.0446710012446716	0	0.442445	0.251182101438282	0.0235151002227266	0.217569077075474	1
"CRYGB"	1	1	7.98964428034776e-63	0.999995	0.999999998342361	1	1	0
"CYP7A1"	1	1	1.96968183694104e-47	0.999995	0.999999998342361	1	1	0
"DEFB129"	1	1	6.61272731019833e-59	0.999995	0.999999998342361	1	1	0
"DMRTB1"	1	1	1.4888327650972e-38	0.999995	0.999999998342361	1	1	0
"DMRTC2"	1	1	2.17041181418665e-10	0.999995	0.999999998342361	1	1	0
"FAM71B"	1	1	6.46952404338041e-125	0.999995	0.999999998342361	1	1	0
"FCRL4"	1	1	2.52316688249423e-25	0.999995	0.999999998342361	1	1	0
"HTR3D"	1	1	3.77048280506466e-88	0.999995	0.999999998342361	1	1	0
"IL1F10"	1	1	1.65736768640151e-28	0.999995	0.999999998342361	1	1	0
"IL22"	1	1	2.27027980891693e-59	0.999995	0.999999998342361	1	1	0
"KRT25"	1	1	2.94434054843486e-11	0.999995	0.999999998342361	1	1	0
"KRT74"	1	1	1.69259110839525e-09	0.999995	0.999999998342361	1	1	0
"KRT77"	1	1	5.45549565851164e-26	0.999995	0.999999998342361	1	1	0
"KRT9"	1	1	3.81715785698939e-19	0.999995	0.999999998342361	1	1	0
"LHX5"	1	1	2.00350615394378e-27	0.999995	0.999999998342361	1	1	0
"LUZP4"	1	1	7.31542796261027e-100	0.999995	0.999999998342361	1	1	0
"LYZL6"	1	1	2.39306719325759e-20	0.999995	0.814526985601922	1	1	0
"MAGEB3"	1	1	2.13374675897629e-84	0.999995	0.999999998342361	1	1	0
"MRGPRD"	1	1	3.38004478151187e-12	0.999995	0.999999998342361	1	1	0
"NLRP5"	1	1	1.24001552704697e-127	0.999995	0.999999998342361	1	1	0
"NPHS2"	1	1	1.29568425057175e-26	0.999995	0.999999998342361	1	1	0
"NPSR1"	1	1	2.64946519623335e-50	0.999995	0.999999998342361	1	1	0
"NUP133"	9.77282005966033e-24	0.25051567413767	2.1114387444975e-280	0.552403	0.0377000214469253	0.145906331519469	0.245282455511764	1
"NUP205"	2.29082708911296e-19	0.00326407631705417	3.44408443916742e-240	0.243643	0.0378080621989494	0.0135278614661961	0.121831332855607	1
"NUP54"	1.3999935950728e-18	0.00189581059817234	0	0.063783	0.0856980462565204	0.0265235888407247	0.0755284844141885	1
"NUP93"	8.24945068447089e-34	0	0	0.004046	3.05364786654502e-05	0.000229098876864478	0.00185118834348501	1
"NUP98"	1.91287342458477e-22	0.745816725986909	1.78606911704527e-229	0.316353	0.185267440922598	0.0625401839085006	1	1
"OC90"	1	1	2.20490178462078e-32	0.999995	0.999999998342361	1	1	0
"OLIG2"	1	1	7.85934877340584e-60	0.999995	0.999999998342361	1	1	0
"OR12D2"	1	1	1.17379180582338e-36	0.999995	0.999999998342361	1	1	0
"OR52E8"	1	1	2.82925570847733e-114	0.999995	0.999999998342361	1	1	0
"OR9Q2"	1	1	3.3800842060493e-21	0.999995	0.999999998342361	1	1	0
"OTUD6A"	1	1	3.19222414094176e-69	0.999995	0.999999998342361	1	1	0
"PIWIL3"	1	1	1.2111817278041e-26	0.999995	0.999999998342361	1	1	0
"PLA2G2E"	1	1	5.84279694586923e-41	0.999995	0.999999998342361	1	1	0
"POLA1"	3.98231491732997e-19	0.00892150926370894	0	0.49831	0.102585502846985	0.0949486391975441	0.110713006091007	1
"POLR2A"	3.76362068171986e-27	7.43512362788579e-10	0	0.118075	0.0228662362227584	0.0364430791971945	0.00793366432922148	1
"POLR2D"	7.80603146851694e-26	1.87405646556726e-13	0	0.012369	0.000215846906266217	0.000196570532761259	0.00185118834348501	1
"POLR2F"	2.51316633021911e-23	0.00334684154994935	0	0.118075	0.0377000214469253	0.0194308054359457	0.0166606950913651	1
"POU4F2"	1	1	8.68365541926053e-61	0.999995	0.999999998342361	1	1	0
"PSMA3"	1.9459502188503e-20	2.67116885943608e-06	0	0.090951	0.0240065958787542	0.0168075477480135	0.0159363170439144	1
"PSMB2"	1.55393441242438e-77	0	0	0.000232	0	3.30434825513262e-09	0.00185118834348501	1
"PSMB3"	1.89634967186056e-16	0.00307666925707695	0	0.290375	0.445568535454481	0.0963928637025554	0.0563016592742683	1
"PSMC1"	8.61529386438796e-23	3.72541392157366e-05	0	0.074721	0.00701721121634311	0.0071233345029155	0.00185118834348501	1
"PSMC2"	1.36796232428478e-28	0.00117260241974182	0	0.090951	0.0228662362227584	0.00386484586654143	0.053552234222245	1
"PSMC4"	1.62669187182024e-19	4.65303344965307e-07	0	0.012369	0.0377000214469253	0.00469383390097575	0.0205054708816801	1
