"gene"	"CC1"	"CC2"	"DESeq2"	"MAGeCK"	"PBNPA"	"ScreenBEAM"	"sgRSEA"	"essential"
"ABCG8"	1	1	4.28702708762295e-59	0.999995	0.999999998342361	1	0.999283410963812	0
"ADH7"	1	1	2.9800661056612e-67	0.999995	0.999999998342361	1	0.999283410963812	0
"CABP5"	1	1	2.2519669201895e-84	0.999995	0.999999998342361	1	0.999283410963812	0
"COPA"	9.95644993602093e-33	0	0	0.01273	0.000367682727825756	0.00031795299065996	0.00138839125761376	1
"COPB1"	2.30421161517821e-32	0	0	0.006289	0.00149529317080869	6.1458614383799e-06	0.00138839125761376	1
"COPS2"	1.4569955067289e-24	0	0	0.665838	0.112824602944449	0.0356995794342709	0.317386241490505	1
"COPS4"	6.21797311889618e-33	0	0	0.006607	0.000367682727825756	8.88548688090176e-06	0.00138839125761376	1
"COPS6"	1.04706621875839e-21	0	0	0.041222	0.0527392325548517	0.000989311845281604	0.0460619217231859	1
"COPS8"	2.11892541058532e-25	0	0	0.221539	0.540838000826684	0.127891903870426	0.999283410963812	1
"COPZ1"	1.81659262556662e-34	0	0	0.131398	0.233358502948199	0.0110075915761162	0.151297122991856	1
"CRYGB"	1	1	9.66577888934506e-71	0.999995	0.999999998342361	1	0.999283410963812	0
"CYP7A1"	1	1	1.52051851341805e-72	0.999995	0.999999998342361	1	0.999283410963812	0
"DEFB129"	1	1	1.54552844735726e-124	0.999995	0.999999998342361	1	0.999283410963812	0
"DMRTB1"	1	0.794579546291559	1.06477296994072e-21	0.999995	0.999999998342361	1	0.999283410963812	0
"DMRTC2"	1	0.681573008891462	5.13557406190177e-18	0.999995	0.999999998342361	1	0.999283410963812	0
"FAM71B"	1	1	3.1828770733591e-159	0.999995	0.999999998342361	1	0.999283410963812	0
"FCRL4"	1	1	8.633431827293e-35	0.999995	0.999999998342361	1	0.999283410963812	0
"HTR3D"	1	0.678497303028486	3.41990838409964e-25	0.999995	0.999999998342361	1	0.999283410963812	0
"IL1F10"	1	0.0981570188495471	1.97038348239016e-05	0.999995	0.999999998342361	1	0.999283410963812	0
"IL22"	1	1	8.37028912799524e-108	0.999995	0.999999998342361	1	0.999283410963812	0
