sgRNA,logFC,logCPM,PValue
RPS19-10,-2.833975955217065,10.381126132373499,0
NUP93-4,-3.486308577585421,10.144852376727535,0
PSMD11-2,-2.8343992696576406,10.33286004767321,1.6040616161655381e-254
RPS3A-3,-2.4228280984997825,10.30047964077333,0
PSMB3-3,-3.44245841004488,9.85896728109446,1.9671018986554131e-224
POLR2A-5,-2.996865920482515,9.980050940917115,0
RPS8-8,-3.1135221142099545,9.853459017228776,0
RPL36-3,-4.140779995243827,9.524799485354075,0
RPS13-4,-4.4272175333822466,9.432122813644877,0
RPS11-2,-1.853463900682828,10.467970656779073,5.89212600093956e-194
NUP93-7,-2.244591859705455,10.115403055753555,3.218078938623118e-165
PSMC1-10,-2.6026547571365075,9.842419183939839,3.035555635383539e-265
RPS9-10,-2.573516172640619,9.844454791117796,0
COPB1-3,-2.797563566639638,9.711061513341418,1.193689839535766e-155
PSMC1-6,-2.1389676097299226,10.092700775228016,0
PSMC1-9,-2.083872178924769,10.122533453797727,4.3404583756731275e-290
RPL5-6,-2.274358085979476,9.984768752143324,1.4723229714062957e-307
RPL11-2,-2.4868323415556977,9.840665870623093,2.978213681291942e-274
PSMB2-1,-2.7656514412760145,9.695864910349151,1.7197934926249192e-261
RPS11-10,-3.1584291478176256,9.53031312396557,1.318655133545822e-164
PSMB2-13,-2.871734649286508,9.63133653359179,2.4419635310258726e-256
NUP93-1,-2.155994285771847,10.00837381206071,8.357773253105034e-150
COPZ1-18,-1.8181724048272194,10.289827704786953,2.623788527287722e-237
RPS8-7,-3.098255654034468,9.501100164368399,9.01822647949964e-269
PSMC1-8,-2.224021465785198,9.931909197797335,9.890380274272454e-240
PSMD6-7,-2.694702639105158,9.648322617583528,7.946688817128801e-290
COPA-8,-3.14631351237834,9.45530165573132,5.877618675234699e-265
RPL18A-6,-2.8473809130994177,9.55454886467603,4.143142876638219e-139
RPL5-5,-2.2385655147594417,9.872429801591053,1.9793199403842164e-276
POLR2F-2,-2.1596588942558332,9.916565486091123,5.621228420128901e-169
PSMB3-9,-2.7775983948381637,9.560610736814931,1.1568215315671222e-191
POLR2D-9,-3.325261190473134,9.3612428769629,4.431052071822263e-255
PSMB2-2,-4.2982661460531535,9.147669061656396,3.89e-320
PSMA3-6,-2.8284864520795154,9.522004336068939,7.68553087670259e-119
RPL34-1,-2.876805771402472,9.49661944464305,1.7995889011225088e-172
PSMB2-10,-2.826502819509368,9.507476926613668,3.11123e-319
RPS24-7,-1.8848829445657098,10.091592499097006,8.69582873384933e-107
NUP93-2,-3.3782795225025275,9.292301206054983,2.894391889956758e-268
PSMC4-5,-1.2184806995960926,10.831702467837857,7.294166785141275e-155
RPL27-10,-3.015866569449207,9.338962565123824,1.844444570596716e-273
RPL36-1,-2.9429316854329226,9.341381525169261,4.8450186735173613e-225
RPL9-3,-2.4681626839509554,9.552517224345639,7.650820579853196e-249
RPS19-2,-2.2637760155173186,9.671041208260142,3.8088204756953735e-223
PSMC2-14,-2.057784798452773,9.818028141580331,2.9216925941235633e-190
NUP54-18,-3.065279882178168,9.272511008676092,2.1512403998739223e-264
PSMB2-12,-3.8019661448417055,9.06317469360869,2.155494167626688e-173
COPS4-9,-1.6817632112014713,10.158962451538116,9.750766586584345e-182
RPS11-1,-2.990349184798658,9.279258352760824,1.8394823908906177e-156
POLR2F-1,-1.3048915697514407,10.581011364647425,1.258852338820801e-78
NUP133-7,-2.4914728243960287,9.463011914963488,2.4680563682084318e-194
RPL11-8,-4.515468625344245,8.865439865537535,2.4318189148456067e-162
PSMB2-3,-2.721987539291657,9.306578123376683,2.394258633169301e-187
RPL35A-5,-2.105895184109835,9.674883356509673,2.8085616840165614e-236
