gene,pvalue,log2FoldChange,stat,padj
ABCG8,2.788140966830225e-59,0.23426536544441065,5.188967463674597,3.4572947988694793e-59
ADH7,1.6883270313059344e-67,0.27532905904428184,4.998993861447809,2.2430630558778843e-67
CABP5,9.688002683673947e-85,0.2463100339044218,5.550405314247983,1.4770233599699623e-84
COPA,0,-1.7608661589633763,-19.597111303685875,0
COPB1,0,-1.8225834539367547,-20.242883915682317,0
COPS2,0,-0.9783566725747594,-12.031927989891885,0
COPS4,0,-1.7462727317437172,-23.988380884373406,0
COPS6,0,-1.2069177161325768,-13.899362877944359,0
COPS8,0,-0.5505938392702598,-7.437980257985986,0
COPZ1,0,-1.0564438234803724,-11.458913400596025,0
CRYGB,4.867930482307256e-71,0.20306070115908642,4.866545422955892,6.859356588705679e-71
CYP7A1,7.427517753591166e-73,0.21668500446643973,4.742301681080001,1.0627063862830438e-72
DEFB129,4.831321782345291e-125,0.31043134929604566,6.8525290699726495,8.640633187656002e-125
DMRTB1,9.751415176996148e-22,0.12845998876320844,2.5131911777688636,1.0189681027647661e-21
DMRTC2,5.025672367174437e-18,0.09930582311996901,2.3324229351703543,5.080299240730681e-18
FAM71B,8.47794148452792e-160,0.3099594123116915,7.942991845197501,1.6426011626272846e-159
FCRL4,6.711902513365219e-35,0.19279790595066099,3.7513749585338707,7.61227967979226e-35
HTR3D,3.0620553569536024e-25,0.13858417713338456,2.7599021490603004,3.23603577496233e-25
IL1F10,1.9703843829114626e-5,0.006628137068803969,0.17772988033427412,1.9703843829114626e-5
IL22,2.718529114268759e-108,0.22097057421053992,5.720101992850785,4.770249200509332e-108
KRT25,3.6308288124027164e-31,0.13841495029748288,2.926577361792007,4.019846185160151e-31
KRT74,1.35242794515048e-38,0.1689472978133037,3.684866643789002,1.5920987202404386e-38
KRT77,4.4014090140115674e-70,0.2661419189118206,5.569564886505657,6.01957409269229e-70
KRT9,3.237648868151545e-35,0.19511803592617466,3.7632508935799422,3.717300552322144e-35
LHX5,7.535132289361588e-67,0.2666840623524934,4.93277666259951,9.869962012825743e-67
LUZP4,1.6632983711592728e-64,0.22762746618254204,4.849410686446582,2.148427062747394e-64
LYZL6,9.165579620491808e-35,0.006499507668134497,0.10229538977317294,1.026986632175588e-34
MAGEB3,4.273138978499396e-125,0.30206277310323654,6.694210821815505,7.792194607851839e-125
MRGPRD,1.7427620878411716e-19,0.04799502507184327,1.345507110329154,1.7810645513102082e-19
NLRP5,1.2945287295051046e-200,0.3462882704494305,8.628745426271967,2.617199387912494e-200
NPHS2,9.976554631998382e-71,0.23164004153772777,4.893472676840926,1.3848053444415665e-70
NPSR1,9.350252759381783e-61,0.2408454627479512,4.8057599782412455,1.1911965844143916e-60
NUP133,0,-1.1957564177513387,-16.623780137863044,0
NUP205,0,-1.2314165078959307,-15.371011221462622,0
NUP54,0,-1.1678555512652988,-17.421900766378933,0
NUP93,0,-1.984371798286209,-19.13853534067665,0
NUP98,0,-1.0283121581886991,-13.946777147528916,0
OC90,8.384463495303336e-20,0.15430225796966796,2.3600828499966693,8.663945611813448e-20
OLIG2,4.9369333724054837e-60,0.24950025063959091,4.660818084648618,6.204524373428514e-60
OR12D2,3.83887126801191e-43,0.25170449925382093,4.509778754923539,4.577115742629585e-43
OR52E8,1.286179549449582e-177,0.38311054080284046,8.978046070981733,2.5449935765704497e-177
OR9Q2,6.47495754825884e-31,0.15546965719535175,3.3080054326102464,7.0843653175067316e-31
OTUD6A,1.047088892365834e-78,0.20789466536961548,4.2398662193218435,1.545702650635279e-78
PIWIL3,8.993555745386123e-28,0.14003299750055775,3.0250068397924124,9.613800969205855e-28
PLA2G2E,2.767544695892874e-80,0.27299522829795125,5.942300883528987,4.151317043839311e-80
POLA1,0,-1.2812851341581066,-15.496775715865748,0
POLR2A,0,-1.9721469696107312,-21.742062737063343,0
POLR2D,0,-1.9959031038564732,-23.791699748129272,0
POLR2F,0,-1.3294627437695576,-21.492261935091705,0
POU4F2,1.6048672695760116e-95,0.32709566352865077,6.26714283827609,2.573321656389122e-95
PSMA3,0,-1.0771308062647933,-12.58643593378111,0
PSMB2,0,-2.0158328370057887,-22.938655922472236,0
PSMB3,0,-1.0679090036518324,-10.92669993409667,0
PSMC1,0,-1.4998339976382813,-25.943212456174486,0
PSMC2,0,-1.284047875238018,-17.501895852892087,0
PSMC4,0,-1.7034843327080418,-22.580618552603273,0
PSMD1,0,-0.8079031878598358,-10.654678662458707,0
PSMD11,0,-1.8717536045061827,-18.469877222450986,0
PSMD6,0,-1.6640936876416321,-22.50366099834262,0
PSMD7,0,-1.7879476918843435,-20.256890343262572,0
RNASE9,2.0574573842972188e-38,0.18174800330873203,3.431639898978122,2.391794209245517e-38
RPL11,0,-2.3653900470036793,-23.552717480444006,0
RPL18A,0,-1.948121487397827,-22.936858078587115,0
RPL27,0,-0.7639346093304052,-8.781437636928452,0
RPL3,0,-1.0824945693794636,-16.014941570025325,0
RPL30,0,-0.9119546276227845,-11.091778432210985,0
RPL34,0,-1.9484224477701997,-21.963669920945403,0
RPL35A,0,-2.087571447979422,-18.39661294255874,0
RPL36,0,-1.8865705404478004,-22.446568141842672,0
RPL5,0,-1.178956645978201,-17.649003046888772,0
RPL6,2.6362791073596034e-133,-1.4946292594659008,-15.97344227749888,4.9034791396888626e-133
RPL9,0,-1.5712777834247633,-15.71934572432423,0
RPS11,0,-1.235187363218935,-16.643713932145467,0
RPS13,0,-2.395623643851813,-27.267765346773764,0
RPS19,0,-2.337160978752828,-28.25049350962613,0
RPS24,0,-0.4408721311971655,-5.9712736132369635,0
RPS27,2.0744155903089342e-261,-0.8208825844203123,-14.236710067013261,4.384560224971157e-261
RPS3A,0,-1.7275165259236538,-23.478568834050225,0
RPS7,2.3080627200291896e-201,-0.32173530937197303,-4.132797266970766,4.769996288060325e-201
RPS8,0,-1.9914264915861424,-22.295096502047247,0
RPS9,0,-1.7020930753704537,-19.92344427292734,0
RPTN,6.994337995326609e-48,0.1879658995413817,4.088397208375915,8.447706929420451e-48
RXFP2,9.289913235063468e-58,0.236921111438578,4.703844750553829,1.1367920142906611e-57
SAGE1,1.5616860733190226e-105,0.2842873197627601,6.4984809440348466,2.6406691785212562e-105
SPATA16,3.1627477855619904e-68,0.23101816411903417,4.701514457839567,4.262833971844422e-68
TAAR1,3.536652893731322e-108,0.313399323944177,6.73588932663955,6.09090220587061e-108
TAAR8,1.5771752441218535e-96,0.28413000597314303,6.365903117019169,2.573285924619866e-96
TAS2R13,4.999290553371118e-77,0.26300302170178497,5.514692060719033,7.264594085367405e-77
TAS2R9,2.6921095661271994e-91,0.2969832738146216,6.253886198739317,4.2434947398276194e-91
TGM6,8.689850551272009e-143,0.2950621998447501,6.511949765249715,1.649298165853667e-142
TPH2,1.176952383292799e-30,0.16814681163140008,3.3778156999656326,1.2727508330957012e-30
TRIM42,4.125727911752829e-85,0.27080452816590894,5.635749271982282,6.394878263216885e-85
VN1R2,8.897682872978311e-101,0.28617840928198535,6.5498308169530866,1.477650905691041e-100
