sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPL34-28	RPL34	120.495889768	1923.685556	71.7163011262	0.0626380384217	0.0	0.0	True
RPL11-5	RPL11	284.948188304	2491.24622817	88.8302733027	0.11437977711	1.14079369487e-314	3.89581046797e-312	True
POLR2D-7	POLR2D	201.03140793	1911.62700495	71.3507718422	0.105162464963	1.63125215487e-285	3.71381740593e-283	True
PSMA3-3	PSMA3	295.706749891	2213.18117375	80.46524553	0.133611632612	3.85082699403e-274	6.57528709231e-272	True
RPL11-2	RPL11	250.828178702	2000.53082106	74.0434477002	0.125380811963	1.62737956996e-269	2.22300049256e-267	True
RPL34-17	RPL34	97.7492166999	1339.5284263	53.8574528754	0.0729728572987	7.79377768598e-266	8.87191693253e-264	True
PSMA3-5	PSMA3	240.069617115	1932.26631545	71.9763484605	0.124242510049	1.73544761308e-265	1.69330102819e-263	True
COPZ1-11	COPZ1	281.259538618	2079.26943955	76.4241585078	0.135268442496	9.80737884804e-264	8.37304969151e-262	True
RPS24-5	RPS24	331.671084337	2265.1513408	82.0311682513	0.146423366229	4.16500481636e-263	3.1607758773e-261	True
RPS8-20	RPS8	387.92299206	2428.49258	86.9451735239	0.15973818296	1.19605452029e-257	8.16905237358e-256	True
PSMD1-9	PSMD1	239.147454693	1863.02721145	69.876542061	0.128364982123	3.94587016504e-256	2.45002665702e-254	True
PSMC2-6	PSMC2	363.024606675	2237.77766502	81.2065239738	0.162225502716	3.9328967919e-245	2.23847375739e-243	True
NUP93-9	NUP93	81.1502931093	1135.82721575	47.5208857222	0.0714459840229	5.64734077882e-240	2.96702596303e-238	True
COPZ1-19	COPZ1	112.811202921	1261.87930712	51.4512972411	0.0893993603703	3.06342910658e-239	1.49451577128e-237	True
NUP205-3	NUP205	213.019519412	1637.464485	63.0097039565	0.130091077616	5.72479730618e-237	2.60669104008e-235	True
NUP93-5	NUP93	151.234637158	1402.10232617	55.789370644	0.107862767457	1.18357222486e-236	5.05237393486e-235	True
RPL36-27	RPL36	126.643639246	1287.08392389	52.2334679741	0.0983957898124	1.75428821825e-233	7.04811090036e-232	True
RPL6-18	RPL6	200.724020456	1547.44311521	60.2557888421	0.129713343569	2.99610061442e-230	1.13685373314e-228	True
RPL30-1	RPL30	290.788550308	1842.26674584	69.2462711925	0.157842804775	1.01337083063e-226	3.64280145959e-225	True
RPL30-15	RPL30	213.63429436	1571.83670467	61.0028964643	0.135913796723	1.19366228301e-226	4.07635669647e-225	True
RPL30-17	RPL30	453.089136527	2389.90002927	85.7851275822	0.189584974676	1.47402853807e-226	4.79410234049e-225	True
RPL11-1	RPL11	166.911398327	1390.07694924	55.4185533117	0.120073495513	9.75084771286e-225	3.02719499449e-223	True
COPZ1-5	COPZ1	488.131308552	2470.85280067	88.2178196665	0.197555802766	9.25589781094e-223	2.74859921951e-221	True
PSMC1-1	PSMC1	201.03140793	1497.02908505	58.7095632417	0.13428690861	1.74156430548e-221	4.95620175268e-220	True
RPS7-14	RPS7	123.262377033	1195.93947651	49.3993388961	0.103067403873	1.57605548699e-218	4.30578359045e-217	True
RPS7-11	RPS7	340.277933606	1946.26609228	72.4005180677	0.174836285211	7.14030876497e-218	1.87570418711e-216	True
RPS7-20	RPS7	203.183120247	1480.55199743	58.2035329389	0.13723470746	1.22779957094e-217	3.1058781739e-216	True
PSMD1-24	PSMD1	282.181701039	1724.84361046	65.6750180048	0.163598426737	8.29631103676e-214	2.02370729933e-212	True
POLR2A-6	POLR2A	140.783463046	1217.99898559	50.0867514155	0.115585862313	7.68865486972e-211	1.81081078483e-209	True
COPZ1-6	COPZ1	149.390312315	1216.85678246	50.0511825028	0.122767374492	1.1488418567e-204	2.61552996042e-203	True
RPS8-11	RPS8	398.066778699	2021.71759056	74.6844034212	0.196895343127	1.57816413208e-203	3.47705194261e-202	True
RPL6-15	RPL6	276.648726509	1634.94100888	62.9326218045	0.169210219211	1.8045924239e-203	3.85167695477e-202	True
NUP93-12	NUP93	181.973384548	1304.06808383	52.759902941	0.139542855779	1.51186026819e-200	3.12909261569e-199	True
PSMD11-6	PSMD11	397.759391225	1968.92247915	73.0866957781	0.202018817621	3.30792965301e-197	6.6450469206e-196	True
COPB1-14	COPB1	172.444372857	1253.77471577	51.199543549	0.137540158282	5.30289039177e-197	1.03482118217e-195	True
