gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
PSMB2	2.67434115761e-11	0.0	0.0	True	24	20	-2.22667218063
PSMD6	2.40163119365e-08	0.0	0.0	True	19	16	-0.893764460601
PSMD7	3.95384349731e-07	0.0	0.0	True	10	10	-2.12486687642
NUP93	2.39787628638e-06	0.0	0.0	True	11	9	-2.33412227573
COPS4	3.50495240168e-06	0.0	0.0	True	10	9	-1.50493174444
POLR2D	4.45810878346e-06	0.0	0.0	True	10	8	-1.95724106491
RPS19	4.71960306953e-06	0.0	0.0	True	10	9	-2.11139501454
COPB1	4.89510588441e-06	0.0	0.0	True	10	9	-1.80051169899
RPS13	6.48180577145e-06	0.0	0.0	True	10	10	-2.11572328125
PSMD11	8.22107791198e-06	0.0	0.0	True	10	10	-1.71718625703
RPL11	1.37343285586e-05	0.0	0.0	True	10	9	-2.18141509831
COPA	1.61709608801e-05	0.0	0.0	True	10	8	-2.10546655721
PSMC2	1.62432509461e-05	0.0	0.0	True	14	10	-0.853330037177
RPS9	2.67599370118e-05	0.0	0.0	True	10	6	-1.84578912718
NUP98	4.36801876159e-05	0.0104166666667	0.0403645833333	False	16	9	-0.370585548944
RPL9	7.26567069458e-05	0.0104166666667	0.0403645833333	False	10	8	-1.06168069647
PSMD1	0.000106108389304	0.0104166666667	0.0403645833333	False	12	7	-0.801589467913
RPS8	0.000106949847086	0.0104166666667	0.0403645833333	False	10	8	-1.54539379951
RPL36	0.000123438220085	0.0104166666667	0.0403645833333	False	10	8	-1.5901405309
COPZ1	0.000179719383414	0.0104166666667	0.0403645833333	False	16	8	-0.193743016537
RPL35A	0.000189066061475	0.0104166666667	0.0403645833333	False	7	5	-2.43407916121
POLR2A	0.000196863257292	0.0104166666667	0.0403645833333	False	10	7	-0.893208697791
PSMC1	0.000274571957653	0.0104166666667	0.0403645833333	False	10	6	-1.12099811256
POLR2F	0.000282250425034	0.0104166666667	0.0403645833333	False	10	7	-0.707365456231
