sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
NUP93-4	NUP93	94.7296045363	1984.21303609	76.241883353	0.0477416501219	0.0	0.0	True
PSMD11-2	PSMD11	218.717466676	2231.66036451	84.1114285618	0.0980066098562	1.93957561339e-302	9.31966082236e-300	True
RPL36-3	RPL36	65.231525149	1434.74395577	58.6217622631	0.0454656211561	2.70035464151e-300	8.65013603497e-298	True
PSMB3-3	PSMB3	161.639882171	1754.61978513	68.9091783752	0.0921224549848	3.02056672179e-274	7.2569115491e-272	True
RPS13-4	RPS13	75.5438618454	1320.47287418	54.918794658	0.057209703677	1.20236779951e-270	2.02531835054e-268	True
PSMB2-1	PSMB2	89.2137035126	1390.71554264	57.1971156957	0.0641494977062	1.26450677453e-270	2.02531835054e-268	True
COPA-8	COPA	65.9509904999	1242.88510867	52.3935248565	0.0530628213661	7.73742741019e-266	1.06223824874e-263	True
RPS8-8	RPS8	173.870793136	1737.59866153	68.3641003105	0.100063839243	6.21358057934e-264	7.46406367093e-262	True
PSMB2-13	PSMB2	111.277307607	1413.56033275	57.9366259257	0.0787213004135	1.21196434803e-256	1.29410859828e-254	True
PSMB2-2	PSMB2	44.6068517563	1072.96066763	46.8239457698	0.0415736131827	3.54335731049e-254	3.40516637538e-252	True
RPL11-8	RPL11	11.0318020473	859.07464016	39.7082800879	0.0128414942446	3.99032530203e-250	3.4860932866e-248	True
RPS19-10	RPS19	372.922873554	2391.6334671	89.1847963381	0.155928104655	1.12710154325e-244	9.02620485882e-243	True
COPB1-3	COPB1	131.182515649	1425.23054064	58.3141424553	0.0920430147323	8.70345109359e-244	6.43385884688e-242	True
NUP93-2	NUP93	84.1774460563	1188.05621739	50.6027620149	0.0708530832331	1.94426563366e-238	1.33459948139e-236	True
POLR2A-5	POLR2A	263.084496649	1879.15806738	72.8909281999	0.140001259721	8.70873800125e-233	5.57939814614e-231	True
PSMB2-12	PSMB2	43.6475646218	937.099403831	42.3208754892	0.0465773048658	1.06589812766e-226	6.40205062926e-225	True
RPL9-6	RPL9	30.9370100891	867.092646359	39.9778007289	0.0356790133315	7.29737583401e-226	4.12516363323e-224	True
PSMA3-6	PSMA3	113.43570366	1242.30551779	52.37462318	0.0913106333632	2.14211803328e-225	1.14365301665e-223	True
PSMB2-10	PSMB2	123.508218573	1236.51830383	52.1858578111	0.0998838579182	3.99407381127e-217	2.02016049086e-215	True
RPS8-7	RPS8	171.952218867	1417.15769255	58.0530144935	0.121335981007	3.29686966447e-216	1.58414587378e-214	True
PSMB3-9	PSMB3	117.272852198	1206.32810865	51.200154144	0.0972147223936	5.25297280287e-216	2.40386041122e-214	True
RPS11-10	RPS11	157.323090065	1312.76358265	54.6683063511	0.119841144395	1.06669510117e-207	4.65951814648e-206	True
PSMC1-10	PSMC1	241.020892554	1602.43863803	64.0272629841	0.15040881244	1.14412973796e-205	4.78047251383e-204	True
RPL11-9	RPL11	61.6341983945	919.25510968	41.7252880667	0.0670479802021	5.44191266965e-205	2.17903253147e-203	True
PSMD11-5	PSMD11	97.3676441563	1047.14770591	45.9722816592	0.0929836770942	5.45310652622e-201	2.09617414868e-199	True
PSMD6-7	PSMD6	193.296357611	1382.99171407	56.9469307303	0.139766822639	6.57052853263e-198	2.42856843071e-196	True
PSMA3-11	PSMA3	88.973881729	971.37335872	43.4619249719	0.0915959666078	6.88251040677e-193	2.44966388922e-191	True
PSMB2-4	PSMB2	49.1634656454	810.8976053	38.0832395867	0.060628450897	1.82857480865e-192	6.27592996827e-191	True
POLR2D-9	POLR2D	153.725763311	1199.14894767	50.9655097532	0.128195720481	1.04371594758e-190	3.45865870906e-189	True
RPS8-4	RPS8	108.879089771	1034.12697588	45.5420353864	0.105285997088	2.77677193439e-190	8.8949260965e-189	True
COPZ1-18	COPZ1	473.168379114	2239.49367293	84.3600885633	0.211283641849	5.44935032556e-190	1.68929860092e-188	True
RPS11-1	RPS11	131.901981	1116.25848908	48.248898191	0.118164369893	6.55404234285e-190	1.96826084109e-188	True
COPS4-1	COPS4	72.9058222254	867.384929796	39.9876208846	0.0840524428324	3.9254778835e-184	1.14314674122e-182	True
NUP93-7	NUP93	338.868180278	1744.53128334	68.5861350432	0.19424597513	2.70434246368e-181	7.64374443411e-180	True
RPL5-5	RPL5	266.921645187	1480.73100139	60.1072177826	0.180263427278	5.96482444299e-176	1.63777036849e-174	True
RPS19-3	RPS19	78.421723249	838.221444562	39.0060966117	0.0935572857957	6.9528911474e-173	1.85603566462e-171	True
NUP93-1	NUP93	343.664615951	1691.2949052	66.8801229147	0.203196151596	2.38974931803e-172	6.20688944493e-171	True
RPL34-5	RPL34	123.748040356	992.967502247	44.1789820951	0.124624461602	6.04947495147e-172	1.52988037588e-170	True
NUP54-18	NUP54	114.634812578	959.210234261	43.0574143503	0.119509580365	2.19917639329e-171	5.41899618962e-170	True
POLA1-3	POLA1	103.363188747	904.42755528	41.2295583673	0.11428575804	5.21552984344e-168	1.25303104489e-166	True
RPL27-10	RPL27	181.065446645	1160.61190024	49.7042632834	0.156008607707	1.0401909694e-167	2.43810615022e-166	True
POLR2A-7	POLR2A	29.4980793872	621.007030506	31.5599415321	0.0475003952261	2.07021078561e-167	4.7368394404e-166	True
RPL18A-7	RPL18A	137.417882024	1009.72426596	44.7344735455	0.136094463268	3.66311072694e-166	8.18662653159e-165	True
RPS9-10	RPS9	277.953447234	1436.10588395	58.665791484	0.193546625176	1.69835611041e-164	3.70936414116e-163	True
PSMC4-3	PSMC4	111.517129391	909.87772732	41.4118636702	0.122562764251	1.4831019517e-163	3.16724661241e-162	True
RPL9-3	RPL9	197.8529715	1182.34658683	50.4159569096	0.16733923344	7.46511094372e-163	1.55955904715e-161	True
RPL35A-6	RPL35A	65.231525149	744.555168911	35.8279460456	0.0876114059411	1.14384791357e-162	2.33880392541e-161	True
RPL36-1	RPL36	168.594713896	1087.28286938	47.2957818897	0.155060581422	4.49990474348e-162	9.00918428851e-161	True
PSMD7-7	PSMD7	70.2677826054	756.481991542	36.2350358832	0.0928875814508	3.15860628602e-161	6.19473600177e-160	True
RPL9-7	RPL9	94.4897827526	840.677149098	39.0888800996	0.112397229845	3.46594911813e-161	6.66155420505e-160	True
PSMB2-3	PSMB2	152.526654393	1027.2817326	45.3156676449	0.148475972611	2.28741947777e-160	4.31021591792e-159	True
RPL36-6	RPL36	41.0095250018	630.68108552	31.8979496968	0.065024187253	3.44897150749e-157	6.37396465135e-156	True
NUP93-10	NUP93	117.512673982	894.419768468	40.8945263696	0.131384253932	2.05432050868e-156	3.72490945064e-155	True
RPL34-1	RPL34	218.717466676	1199.34995301	50.9720807495	0.182363342848	4.33938648111e-155	7.72250075619e-154	True
RPL35A-4	RPL35A	109.358733338	859.597036639	39.725847905	0.127220928734	1.24724616672e-154	2.1792792113e-153	True
POLR2D-2	POLR2D	235.265169747	1246.58523629	52.514180056	0.18872770421	1.34300270404e-154	2.30468856889e-153	True
