sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
NUP93-4	NUP93	94.221682389	1984.21303609	76.241883353	0.0474856684616	0.0	0.0	True
PSMB3-3	PSMB3	134.534250297	1754.61978513	68.9091783752	0.0766743037079	3.61600405648e-293	1.73748994914e-290	True
COPA-8	COPA	43.4135346704	1242.88510867	52.3935248565	0.0349296442347	1.036973238e-288	3.32177093906e-286	True
RPS19-10	RPS19	288.389908882	2391.6334671	89.1847963381	0.120582820423	2.5902315052e-283	6.22303119125e-281	True
COPB1-3	COPB1	97.7997209607	1425.23054064	58.3141424553	0.0686202815418	8.38292436824e-270	1.61119806358e-267	True
PSMB2-1	PSMB2	96.368505532	1390.71554264	57.1971156957	0.0692941889102	9.79217817905e-265	1.56838053835e-262	True
RPS8-8	RPS8	172.938530967	1737.59866153	68.3641003105	0.0995273159423	1.42343936183e-264	1.95417889532e-262	True
POLR2A-5	POLR2A	207.764773065	1879.15806738	72.8909281999	0.110562691171	4.18380454156e-263	5.02579520555e-261	True
RPS13-4	RPS13	84.9187821025	1320.47287418	54.918794658	0.0643093726217	1.28344678025e-262	1.37043595092e-260	True
PSMD11-2	PSMD11	295.545986025	2231.66036451	84.1114285618	0.132433228069	3.81591787111e-261	3.66709707414e-259	True
PSMB2-13	PSMB2	110.680659819	1413.56033275	57.9366259257	0.0782992117526	2.03817366151e-257	1.7806226261e-255	True
PSMB2-2	PSMB2	44.3676782895	1072.96066763	46.8239457698	0.041350703365	3.54335731049e-254	2.83763864615e-252	True
RPL36-3	RPL36	125.469885915	1434.74395577	58.6217622631	0.0874510642895	1.12003332168e-249	8.2796309395e-248	True
PSMB2-10	PSMB2	86.3499975312	1236.51830383	52.1858578111	0.0698331737296	1.00439129663e-245	6.894428829e-244	True
RPL11-8	RPL11	23.3765186687	859.07464016	39.7082800879	0.0272112777818	8.45969096753e-233	5.4198420132e-231	True
PSMB3-9	PSMB3	99.708008199	1206.32810865	51.200154144	0.0826541365355	1.44226696998e-229	8.66261598846e-228	True
PSMA3-6	PSMA3	112.827482962	1242.30551779	52.37462318	0.0908210430899	3.8729766755e-226	2.18937093245e-224	True
NUP93-2	NUP93	102.808974961	1188.05621739	50.6027620149	0.0865354462661	7.20129513724e-224	3.84469145938e-222	True
PSMD11-5	PSMD11	70.129556006	1047.14770591	45.9722816592	0.0669719807532	2.53024375291e-223	1.27977065608e-221	True
RPL9-6	RPL9	41.7437833369	867.092646359	39.9778007289	0.0481422412152	2.13753788796e-213	1.02708695516e-211	True
RPS11-10	RPS11	156.479553537	1312.76358265	54.6683063511	0.119198578941	2.51742812955e-208	1.15202306309e-206	True
PSMB2-4	PSMB2	34.3491702886	810.8976053	38.0832395867	0.0423594422577	2.88350271108e-208	1.25956641152e-206	True
PSMC1-10	PSMC1	236.627617544	1602.43863803	64.0272629841	0.147667194193	3.24258905845e-208	1.3548382979e-206	True
PSMB2-12	PSMB2	62.7349429577	937.099403831	42.3208754892	0.0669458786349	7.13890152558e-208	2.85853515254e-206	True
