sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPL36-3	RPL36	26.4657315771	1434.74395577	58.6217622631	0.0184463098594	0.0	0.0	True
NUP93-4	NUP93	43.2850750093	1984.21303609	76.241883353	0.0218147316956	0.0	0.0	True
PSMD11-2	PSMD11	220.630210905	2231.66036451	84.1114285618	0.0988637045375	2.94040946584e-301	9.41911165556e-299	True
RPS13-4	RPS13	58.8677020127	1320.47287418	54.918794658	0.0445807734212	4.75748650248e-287	1.14298613222e-284	True
PSMB2-1	PSMB2	78.4078215883	1390.71554264	57.1971156957	0.0563794817734	2.49950331772e-280	4.80404537666e-278	True
NUP93-2	NUP93	47.2425675816	1188.05621739	50.6027620149	0.0397645893267	9.00177885397e-274	1.44178491311e-271	True
COPA-8	COPA	68.0194035861	1242.88510867	52.3935248565	0.0547270243336	5.55559946734e-263	7.6270444116e-261	True
PSMB2-12	PSMB2	16.3246568607	937.099403831	42.3208754892	0.0174204111047	3.13331054657e-260	3.76388929407e-258	True
RPS8-8	RPS8	180.065912039	1737.59866153	68.3641003105	0.10362917285	1.6374680621e-259	1.74845200853e-257	True
PSMB3-3	PSMB3	187.486210612	1754.61978513	68.9091783752	0.106852898959	1.22384929512e-257	1.17611917261e-255	True
PSMB2-13	PSMB2	111.551821881	1413.56033275	57.9366259257	0.07891550102	1.21196434803e-256	1.05881612587e-254	True
RPL11-8	RPL11	11.3777911453	859.07464016	39.7082800879	0.0132442405042	3.99032530203e-250	3.19558551271e-248	True
PSMB2-2	PSMB2	56.8889557265	1072.96066763	46.8239457698	0.0530205416124	1.04670902707e-241	7.73759519241e-240	True
COPB1-3	COPB1	139.748956459	1425.23054064	58.3141424553	0.0980535797361	3.36656863535e-238	2.31090889898e-236	True
RPS19-10	RPS19	391.54442137	2391.6334671	89.1847963381	0.163714225761	7.64799462032e-237	4.89981522009e-235	True
PSMA3-6	PSMA3	104.378866594	1242.30551779	52.37462318	0.0840202873603	3.2918254911e-232	1.97715268559e-230	True
POLR2A-5	POLR2A	271.335584487	1879.15806738	72.8909281999	0.144392102611	8.08339868456e-229	4.56949772698e-227	True
RPL9-6	RPL9	31.907283864	867.092646359	39.9778007289	0.0367980099912	1.1421280933e-224	6.09769498701e-223	True
RPS8-7	RPS8	168.935464179	1417.15769255	58.0530144935	0.119207244943	4.82504154674e-218	2.44045522443e-216	True
PSMB2-10	PSMB2	127.38179217	1236.51830383	52.1858578111	0.103016503497	2.54499117856e-214	1.2228682613e-212	True
PSMB3-9	PSMB3	120.95086674	1206.32810865	51.200154144	0.100263656192	7.42713202116e-214	3.39879708206e-212	True
RPS11-1	RPS11	99.1846575928	1116.25848908	48.248898191	0.0888545606265	9.2898095893e-213	4.05795773423e-211	True
NUP93-1	NUP93	267.378091915	1691.2949052	66.8801229147	0.158090757025	2.01706830883e-205	8.42783758601e-204	True
RPS19-3	RPS19	43.0377317236	838.221444562	39.0060966117	0.0513441072199	9.21318752966e-205	3.68911384e-203	True
PSMC1-10	PSMC1	248.580002196	1602.43863803	64.0272629841	0.15512606617	3.66546762678e-202	1.40900575573e-200	True
PSMD11-5	PSMD11	100.421374022	1047.14770591	45.9722816592	0.0958999131214	1.03747714239e-198	3.83467513014e-197	True
PSMB2-4	PSMB2	50.7053735824	810.8976053	38.0832395867	0.0625299338054	1.7409846091e-191	6.19661559016e-190	True
RPL35A-6	RPL35A	37.1014928651	744.555168911	35.8279460456	0.049830414742	2.72132675662e-189	9.33998218967e-188	True
RPL5-5	RPL5	240.665017052	1480.73100139	60.1072177826	0.162531220611	2.60850865403e-188	8.64405798799e-187	True
POLR2D-9	POLR2D	158.547046177	1199.14894767	50.9655097532	0.132216307645	1.19615918613e-187	3.83169659291e-186	True
RPS8-4	RPS8	112.293851738	1034.12697588	45.5420353864	0.108588069316	1.9890693077e-187	6.16611485386e-186	True
COPZ1-18	COPZ1	488.008302819	2239.49367293	84.3600885633	0.217910105627	5.34865489459e-185	1.60626792303e-183	True
RPS9-10	RPS9	234.728778193	1436.10588395	58.665791484	0.163448100044	1.44262185649e-184	4.20108970936e-183	True
PSMD6-7	PSMD6	228.545196049	1382.99171407	56.9469307303	0.165254204869	2.03669223043e-179	5.7566506866e-178	True
NUP93-7	NUP93	352.216838933	1744.53128334	68.5861350432	0.201897691544	1.02823858838e-175	2.82324938123e-174	True
POLR2A-7	POLR2A	23.7449554337	621.007030506	31.5599415321	0.0382362103282	1.78596281294e-174	4.76752850898e-173	True
RPL11-9	RPL11	101.163403879	919.25510968	41.7252880667	0.110049324517	1.79700889979e-172	4.66736635865e-171	True
NUP54-18	NUP54	118.230090597	959.210234261	43.0574143503	0.123257745147	1.11801972232e-168	2.7690706669e-167	True
RPL34-5	RPL34	128.865851885	992.967502247	44.1789820951	0.129778519028	1.12376437054e-168	2.7690706669e-167	True
