sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPL36-3	RPL36	69.4783648583	1403.40863625	46.8799138057	0.0495068671117	0.0	0.0	True
RPS13-4	RPS13	67.3729598626	1301.124802	44.5407473111	0.0517805515344	0.0	0.0	True
PSMB3-3	PSMB3	136.149523056	1704.60397725	53.6326060943	0.0798716446008	0.0	0.0	True
NUP93-4	NUP93	196.504466266	2068.93968059	61.6056885494	0.0949783447577	0.0	0.0	True
RPS8-8	RPS8	162.467085502	1663.94296347	52.7309804882	0.0976398164293	0.0	0.0	True
PSMD11-2	PSMD11	280.018864429	2317.32979883	66.9555557041	0.120836863432	0.0	0.0	True
RPS19-10	RPS19	314.056245193	2340.20686041	67.4454979535	0.134200207044	0.0	0.0	True
POLR2A-5	POLR2A	260.719318635	1823.6620933	56.2576872433	0.142964707987	1.48274040973e-319	1.78114173192e-317	True
PSMB2-2	PSMB2	49.1261165664	1066.12289348	39.0450833636	0.0460792248875	1.15559749971e-307	1.23392133024e-305	True
PSMB2-13	PSMB2	178.608523802	1513.12899088	49.3609503959	0.118039192216	1.50746864153e-306	1.44867736451e-304	True
RPS3A-3	RPS3A	409.852172497	2146.93130563	63.2918469516	0.19090139094	1.05915310762e-298	9.2531466948e-297	True
RPS8-7	RPS8	153.694564686	1385.93278257	46.4821606296	0.110896117488	6.60561670146e-295	5.28999804175e-293	True
PSMC1-10	PSMC1	227.032838704	1554.17117277	50.2823651828	0.146079687155	1.39585132249e-281	1.03185624685e-279	True
PSMB2-12	PSMB2	54.3896290557	988.67361672	37.1871943487	0.0550127242559	2.67327268703e-279	1.8350107516e-277	True
COPA-8	COPA	134.745919725	1257.47090194	43.5336519172	0.107156292457	1.06511543891e-277	6.82383957859e-276	True
PSMA3-6	PSMA3	141.062134712	1278.84054216	44.0273467302	0.110304709666	1.61009860205e-277	9.67065472853e-276	True
RPS11-10	RPS11	160.010779674	1299.782186	44.5098554371	0.123105841423	4.59607456999e-268	2.59813391868e-266	True
COPB1-3	COPB1	217.909417055	1458.85306891	48.1370200972	0.149370366145	3.05598728877e-266	1.63155765806e-264	True
NUP93-2	NUP93	116.849977262	1148.1004818	40.9841606076	0.101776786191	5.27465474652e-264	2.66786484811e-262	True
RPS9-10	RPS9	267.035533622	1584.30900274	50.9568524124	0.168550158561	4.36262983663e-263	2.0962436365e-261	True
RPS11-1	RPS11	112.990068103	1128.58919082	40.5249944127	0.100116206164	3.42939921427e-262	1.56935840234e-260	True
RPL11-2	RPL11	257.561211141	1548.77081882	50.1613181432	0.166300402882	2.79454528226e-261	1.22070818921e-259	True
PSMB3-9	PSMB3	175.450416309	1308.9074152	44.7197151394	0.134043412293	2.69867845481e-259	1.12757825873e-257	True
POLR2D-9	POLR2D	132.991415562	1170.53063784	41.5103118955	0.113616347375	9.63836241993e-257	3.85936095231e-255	True
PSMB2-1	PSMB2	219.663921219	1421.70456038	47.295538123	0.154507432374	2.89768129672e-256	1.11386869046e-254	True
RPL34-1	RPL34	167.379697159	1263.88232828	43.6819158876	0.132432975297	6.49363856443e-254	2.40014871555e-252	True
RPL11-8	RPL11	52.28422406	892.279439157	34.8334627657	0.0585962443664	6.94188872337e-253	2.47079817154e-251	True
RPL27-10	RPL27	129.131506403	1135.47003024	40.6870844275	0.113725156071	6.28703555958e-250	2.15780041884e-248	True
NUP93-1	NUP93	331.952187656	1680.21865687	53.0922114367	0.197564874249	2.6400637399e-247	8.74862501394e-246	True
PSMC1-9	PSMC1	416.519288317	1883.312075	57.5652235546	0.221163180466	5.40645595719e-245	1.73186805829e-243	True
PSMC1-8	PSMC1	315.810749356	1622.00205224	51.7980181226	0.194704284695	9.90450530086e-244	3.07039664327e-242	True
RPL36-1	RPL36	141.763936377	1138.12879764	40.7496690832	0.124558781634	3.18380946434e-241	9.5613777976e-240	True
PSMB2-10	PSMB2	186.679242953	1265.73769267	43.7247980548	0.147486516388	5.74935741294e-241	1.67428256783e-239	True
PSMC1-6	PSMC1	401.781453347	1817.92685885	56.1317122087	0.221010791161	1.61267627865e-239	4.55818206995e-238	True
RPL35A-4	RPL35A	64.214852369	886.856587662	34.6995138675	0.0724072564407	1.53233291389e-238	4.20734837214e-237	True
PSMD6-7	PSMD6	235.454458686	1379.76236661	46.3415403832	0.17064855832	2.25269921868e-236	6.0134554143e-235	True
NUP54-18	NUP54	136.851324721	1095.48036377	39.7425334809	0.12492357622	7.1435282817e-234	1.85538666992e-232	True
RPL5-6	RPL5	354.409840944	1667.65046391	52.8133060165	0.212520458342	9.97704137422e-233	2.5231412528e-231	True
POLR2A-2	POLR2A	66.3202573647	869.276283555	34.264045323	0.0762936463577	2.64221303643e-231	6.51068391797e-230	True
RPS11-2	RPS11	582.846282978	2193.45767051	64.2948461889	0.265720324041	3.02224983601e-229	7.26095523101e-228	True
RPL5-5	RPL5	314.407146025	1537.75646232	49.914255694	0.204458348073	2.29989563664e-226	5.39073099223e-225	True
PSMD11-5	PSMD11	108.428357279	983.956312196	37.0731335625	0.110196312514	4.17580962335e-226	9.55465011437e-225	True
PSMB2-3	PSMB2	148.080151365	1099.34279316	39.8340343669	0.134698796669	7.38741390124e-226	1.65100110677e-224	True
POLR2D-2	POLR2D	195.100862935	1224.94359499	42.7795131737	0.159273344285	6.06390312495e-225	1.32441156888e-223	True
RPS8-4	RPS8	92.637819811	921.973316603	35.5638939014	0.100477766702	2.34221987476e-222	5.00194066587e-221	True
NUP93-7	NUP93	449.15306575	1830.62459202	56.4105572312	0.245355092305	8.84760656146e-220	1.84838041425e-218	True
