sgRNA	gene	counts	control mean	control stdev	fold change	p-value	p-value (adj.)	significant
RPS13-4	RPS13	54.8416158899	1301.124802	44.5407473111	0.0421493893634	0.0	0.0	True
RPL36-3	RPL36	81.3483969034	1403.40863625	46.8799138057	0.0579648683941	0.0	0.0	True
PSMB3-3	PSMB3	136.494688437	1704.60397725	53.6326060943	0.0800741346722	0.0	0.0	True
NUP93-4	NUP93	207.48411345	2068.93968059	61.6056885494	0.100285240501	0.0	0.0	True
POLR2A-5	POLR2A	221.194517423	1823.6620933	56.2576872433	0.121291393968	0.0	0.0	True
PSMD11-2	PSMD11	306.80837334	2317.32979883	66.9555557041	0.132397371101	0.0	0.0	True
RPS19-10	RPS19	318.386047805	2340.20686041	67.4454979535	0.136050386481	0.0	0.0	True
RPS8-8	RPS8	203.218654437	1663.94296347	52.7309804882	0.122130781462	2.96439387505e-323	3.56221330652e-321	True
RPS3A-3	RPS3A	393.640931832	2146.93130563	63.2918469516	0.18335050162	4.58784039308e-307	4.89879401972e-305	True
RPS11-10	RPS11	117.300122876	1299.782186	44.5098554371	0.090245984396	4.7532770008e-303	4.56789919777e-301	True
COPB1-3	COPB1	167.266928464	1458.85306891	48.1370200972	0.114656459947	7.10797785202e-302	6.20978792345e-300	True
PSMB2-2	PSMB2	63.3725339173	1066.12289348	39.0450833636	0.0594420533551	8.0799957458e-292	6.47072992643e-290	True
RPS8-7	RPS8	170.618360546	1385.93278257	46.4821606296	0.123107240619	7.35027588851e-282	5.43355009913e-280	True
COPA-8	COPA	129.182472985	1257.47090194	43.5336519172	0.102731977961	8.10701810292e-282	5.56488885494e-280	True
PSMB2-1	PSMB2	184.328764519	1421.70456038	47.295538123	0.129653353908	2.93956054173e-280	1.88327845374e-278	True
PSMB2-13	PSMB2	219.671139204	1513.12899088	49.3609503959	0.145176743376	1.72653933918e-277	1.0370026906e-275	True
RPL11-8	RPL11	38.389131123	892.279439157	34.8334627657	0.0430236643795	2.97695260832e-269	1.682853798e-267	True
RPS9-10	RPS9	258.060270327	1584.30900274	50.9568524124	0.162885062119	1.4279271276e-268	7.62354427568e-267	True
POLR2D-9	POLR2D	118.518825451	1170.53063784	41.5103118955	0.101252219822	2.81529533505e-268	1.42394674578e-266	True
RPL35A-4	RPL35A	38.9984824106	886.856587662	34.6995138675	0.0439738317933	1.3587189115e-267	6.52864436977e-266	True
PSMC1-10	PSMC1	257.450919039	1554.17117277	50.2823651828	0.165651585584	1.74712999202e-262	7.99519963013e-261	True
PSMB2-12	PSMB2	70.0753980816	988.67361672	37.1871943487	0.0708781916464	3.03050355509e-262	1.32377905293e-260	True
NUP93-2	NUP93	119.128176739	1148.1004818	40.9841606076	0.103761106826	1.78894606814e-261	7.47468335429e-260	True
PSMD6-7	PSMD6	200.781249286	1379.76236661	46.3415403832	0.145518716951	5.24978219625e-259	2.10210028775e-257	True
NUP93-7	NUP93	381.149230435	1830.62459202	56.4105572312	0.208207205397	7.12452413262e-252	2.73866707658e-250	True
PSMB2-10	PSMB2	179.149278574	1265.73769267	43.7247980548	0.141537444615	8.21672229675e-246	3.03702697199e-244	True
RPL27-10	RPL27	138.627417944	1135.47003024	40.6870844275	0.122088134651	7.72298745699e-243	2.74881146154e-241	True
POLR2F-2	POLR2F	302.84758997	1576.96890055	50.7927410176	0.192044110613	2.85104408472e-241	9.78519059078e-240	True
PSMC1-9	PSMC1	424.413171859	1883.312075	57.5652235546	0.225354670367	3.35473386861e-241	1.11168939577e-239	True
PSMC1-6	PSMC1	406.437308873	1817.92685885	56.1317122087	0.223571870834	4.06105729003e-237	1.30089201857e-235	True
RPS11-2	RPS11	567.001373173	2193.45767051	64.2948461889	0.258496610532	3.34156340065e-235	1.0358846542e-233	True
RPL11-2	RPL11	304.066292545	1548.77081882	50.1613181432	0.196327493293	4.09394913871e-234	1.22946410072e-232	True
NUP54-18	NUP54	136.190012793	1095.48036377	39.7425334809	0.124319903211	7.1435282817e-234	2.08028202385e-232	True
RPL34-1	RPL34	203.828005724	1263.88232828	43.6819158876	0.161271347153	3.46867850923e-229	9.80411778637e-228	True
RPL5-6	RPL5	362.868691805	1667.65046391	52.8133060165	0.21759277478	1.05869038023e-228	2.90686130115e-227	True
PSMB3-9	PSMB3	223.32724693	1308.9074152	44.7197151394	0.170621118298	3.10006032137e-227	8.27543880232e-226	True
RPS8-4	RPS8	87.7465854239	921.973316603	35.5638939014	0.0951725867156	8.38412737845e-227	2.17760713802e-225	True
RPS11-1	RPS11	159.345361725	1128.58919082	40.5249944127	0.141189870523	1.92280208367e-225	4.86266526948e-224	True
PSMC1-8	PSMC1	350.072314764	1622.00205224	51.7980181226	0.215827294596	2.2186065916e-225	5.4668741911e-224	True
RPS24-7	RPS24	436.295521969	1822.87680641	56.2404410691	0.23934449132	3.99169105412e-224	9.59003775753e-223	True
RPL36-1	RPL36	166.657577177	1138.12879764	40.7496690832	0.146431210178	6.24313826543e-223	1.46333070075e-221	True
RPS19-3	RPS19	47.2247247941	770.817042378	31.7874200482	0.0612658026455	3.00265270258e-221	6.87035535043e-220	True
PSMA3-6	PSMA3	222.108544354	1278.84054216	44.0273467302	0.173679623872	9.53514156703e-221	2.13099326649e-219	True
