gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
RPL11,5,5,-6.084580924839209,-6.790623858232076,1.1164967528426685e-11,1.0383419801436818e-9,0.40217238477770145
RPL5,5,5,-5.497535507897132,-4.317323452711373,1.579326399968506e-5,9.791823679804738e-5,0.9419915444143213
RPS9,4,4,-5.19755161545286,-4.523372843562861,6.086188956357411e-6,4.716796441176994e-5,0.740752078452188
RPL34,5,5,-5.187356392749533,-3.090279202588856,0.0019996842139347773,0.007748776328997262,1.4367196065558019
RPS3A,5,5,-5.166621220848571,-2.7976898819511975,0.005146950416217607,0.01650573754166336,1.6229927786597393
COPB1,5,5,-4.949459693106989,-4.601931000837892,4.1859188667370445e-6,3.539004132786774e-5,0.7624714140659868
RPS13,5,5,-4.927172125759651,-2.85194352364852,0.004345282008089654,0.014432543812583494,1.5112454747766424
RPS8,4,4,-4.9226036608238495,-5.440703478903153,5.307058452773791e-8,9.871128722159252e-7,0.47040355738497946
POLR2D,5,5,-4.7439753541603125,-5.403188237074129,6.546669381615063e-8,1.0147337541503346e-6,0.5413978307488686
PSMB2,5,5,-4.589365268150813,-2.6559053420335084,0.007909581281407008,0.02196274864514562,1.5365630599545006
RPL3,5,5,-4.472397805736055,-3.477156847807488,5.067612715512887e-4,0.0023564399127134926,1.0580254414317787
RPL9,5,5,-4.323551641123357,-1.9216647336469246,0.05464795749523658,0.10813319249057451,2.1035402759341677
RPL6,5,5,-4.304606632310557,-5.088293350533111,3.613001920565621e-7,4.200114732657534e-6,0.5530292266603505
POLR2A,5,5,-4.276575848158554,-5.618974052426179,1.9209469985708567e-8,5.954935695569656e-7,0.4496455417560125
RPL27,5,5,-4.20373912186679,-2.546040519219383,0.010895254083791205,0.025980990507502105,1.48091162547335
RPS11,5,5,-4.1945804660719315,-3.5545659512741135,3.786035447866214e-4,0.0019561183147308774,0.9623675723422751
PSMD1,5,5,-4.139552743897154,-2.6508313678425135,0.008029391977795173,0.02196274864514562,1.3891805397057364
RPL36,5,5,-4.0728418354609754,-2.7475262531269173,0.006004670145440592,0.018614477450865835,1.3082903048318018
RPS7,2,2,-4.054401014595623,-0.866272534947269,0.38634072410350345,0.5795110861552552,4.340810703793985
COPS4,5,5,-3.9853940780956734,-3.7126705878785704,2.0508374083333912e-4,0.0011219286998529728,0.8595544727318079
NUP93,5,5,-3.780390146870342,-2.6326116947511107,0.008473115753841444,0.022514279003064408,1.2792920180086815
PSMA3,5,5,-3.687492145975134,-2.6173352067477618,0.008861926732263636,0.022893310725014396,1.2566611713409361
RPS24,5,5,-3.5814306339178263,-5.467232064575659,4.571174247632606e-8,9.871128722159252e-7,0.39893255026900293
NUP98,5,5,-3.5683295292130977,-4.487099372271765,7.219940439773101e-6,5.165034314606911e-5,0.5737832158249022
PSMD7,4,4,-3.4946711781536717,-2.963526110731396,0.0030413625810761483,0.010878720001541609,0.9773241737844469
PSMB3,5,5,-3.4719690176423508,-5.143648128821983,2.694540092253472e-7,3.5798889797081845e-6,0.4369000559119699
RPS19,4,4,-3.3188910030004144,-1.8279172266816508,0.0675619752485028,0.12566527396221522,1.6752002146420044
PSMD11,5,5,-3.246086585614161,-3.4152473584900114,6.372411355613308e-4,0.0028220678860573223,0.7871164820480722
RPS27,5,5,-2.9618747627816426,-5.6632366025132574,1.4854411431228296e-8,5.954935695569656e-7,0.30619244228127984
RPL35A,4,4,-2.856973645160278,-2.504158571190083,0.012274300901742571,0.02853774959655148,0.9943437657687396
PSMC4,5,5,-2.846644933671453,-3.035734070087026,0.002399508944616376,0.008926173273972918,0.8067409052318182
PSMC1,5,5,-2.7592282894890636,-4.334477648566281,1.4610663162234962e-5,9.705654814913226e-5,0.4697566810504118
PSMD6,5,5,-2.758918481950485,-1.890252129572255,0.058724247755236894,0.11377823002577148,1.367007563534666
RPL18A,5,5,-2.758293023489246,-3.30722956860538,9.422363971686946e-4,0.0039830902243949366,0.6985939430192113
NUP205,4,4,-2.6353725738287004,-1.8396893699404893,0.06581385507810146,0.12491201065843748,1.320593270434153
NUP133,5,5,-2.623502633028186,-2.5875717710226644,0.009665505776459733,0.023655053610809346,0.9064662152964156
COPS6,5,5,-2.5901608317534746,-2.109534932975648,0.03489843400658548,0.07212343028027667,1.1352116296021437
COPZ1,5,5,-2.5736763768445807,-2.413734079020235,0.015789981740719695,0.03415042562527748,0.9658378315886119
RPL30,5,5,-2.507416848003672,-2.600199781795679,0.009316950196809315,0.023418280224412603,0.8612967864055084
COPS2,5,5,-2.488063697770471,-4.876695735548034,1.0787763829341442e-6,1.1147355956986157e-5,0.3459564940131616
COPA,5,5,-2.2923381586194935,-1.7631137641640364,0.0778813042286586,0.1392877171781779,1.2260435394194238
POLR2F,5,5,-2.1112972699497656,-4.832036883869753,1.3514320929835863e-6,1.2568318464747355e-5,0.298500959311262
POLA1,5,5,-1.9978852077635956,-1.5269130148487515,0.12678264281525914,0.21834788484850187,1.2479045158182354
NUP54,5,5,-1.8181220490643701,-2.6547387251287873,0.007936985713191473,0.02196274864514562,0.6090491452955679
CRYGB,6,6,-1.4683822619364522,-3.522545018412743,4.27424442585263e-4,0.0020921301663383925,0.3545833236079337
COPS8,5,5,-1.4642310682554784,-2.4257022359790708,0.015278800371649852,0.033831629394367534,0.5463047253855502
IL1F10,5,5,-1.33834419181505,-1.7974989839278557,0.07225643928918755,0.13176174223322437,0.7008560098073024
PSMC2,3,3,-1.2982845255397542,-3.120321723274741,0.0018065361299312488,0.007304689568852441,0.30855068782568057
IL22,5,5,-1.2466973386327653,-2.2268167664525613,0.025959522367472235,0.05486899045852087,0.5137329888967147
TPH2,5,5,-0.9524097309105708,-0.8287589580872906,0.4072408163849396,0.5822116562021324,1.1223129028245158
NLRP5,11,11,-0.8817570242272319,-1.548473171218696,0.12150841623318415,0.21321288131483257,0.5579181546205577
TRIM42,5,5,-0.8556173859311379,-1.1664203322090163,0.24344454192274675,0.4116425890693718,0.7094881581569293
NPSR1,5,5,-0.8235824783177335,-4.242045999996938,2.214912785259386e-5,1.2874180564320182e-4,0.14516541599746946
CABP5,5,5,-0.7661203084671727,-0.8101761034853199,0.4178389696334449,0.5822116562021324,0.9239002139140617
KRT9,5,5,-0.6894790560362366,-1.0193311954957847,0.3080457587720003,0.498383243666437,0.6572534601048138
TAS2R9,5,5,-0.6578310633199728,-0.8930242289869471,0.3718441976841923,0.5669100063054079,0.7182602506947495
FCRL4,5,5,-0.6211686957318279,-0.9317940817698865,0.3514429537562337,0.5447365783221623,0.6493521163653445
NPHS2,5,5,-0.5550931016791416,-0.9945464806982268,0.31995688828099533,0.504338823900552,0.5427237688999798
KRT74,5,5,-0.4348779448502219,-0.7812096065859928,0.4346792245119515,0.5944877629354631,0.5442438416973968
TGM6,5,5,-0.4114625969712503,-0.8413964968541928,0.40012584734686896,0.5822116562021324,0.4774379228772891
DMRTC2,5,5,-0.40829939569858975,-0.49298559922265756,0.622022762708738,0.7716695161811251,0.8139804481128853
KRT77,5,5,-0.3808228731199611,-0.46135758084578893,0.6445420798311188,0.7884014259053228,0.8115990494031886
CYP7A1,5,5,-0.3497799091180912,-0.5879086407312796,0.5565936163317831,0.7290592439275468,0.5838744551880658
TAS2R13,5,5,-0.34571319781259746,-0.5340359609597377,0.5933166543008177,0.755869162328439,0.6358491125443582
OR12D2,5,5,-0.28220826719503944,-0.49257328823160845,0.6223141259525202,0.7716695161811251,0.5630809806778798
FAM71B,8,8,-0.23474719836187088,-0.5423115454704529,0.5876039033780889,0.755869162328439,0.4282062603276347
SPATA16,6,6,-0.16215965110921576,-0.277572489130688,0.7813405530344506,0.90830839290254894,0.5770923663917007
POU4F2,5,5,-0.14734822765391528,-0.2435120621394314,0.8076087420597013,0.9159465001408807,0.5962516044325171
SAGE1,5,5,-0.12373046368035388,-0.44793172335961273,0.65420247272943,0.7884014259053228,0.27164172516647067
OC90,5,5,-0.11536528774644451,-0.16855954789366853,0.8661431012866456,0.958944147853072,0.6747107500665928
PIWIL3,10,10,-0.07562214446328333,-0.2610445849921646,0.7940581250334773,0.9116963657791776,0.28766071614225197
VN1R2,5,5,-0.041328528802811876,-0.060585250395739094,0.9516895204233198,0.9989185323739767,0.6727157663142223
MRGPRD,5,5,-0.03556633178354213,-0.05523117293174421,0.9559542944224076,0.9989185323739767,0.6350489530073155
LHX5,5,5,-0.013862899156320099,-0.03290644523657425,0.9737491930252986,0.9999493054297492,0.41546805282049715
LUZP4,5,5,-0.009788150333232142,-0.023035822205503927,0.9816216985360715,0.9999493054297492,0.419049050895452
RPTN,5,5,6.843535432232156e-5,6.353622162315063e-5,0.9999493054297492,0.9999493054297492,1.0622588527565873
HTR3D,5,5,0.00833015722747416,0.013363539811758147,0.9893377552588697,0.9999493054297492,0.6147546297543894
PLA2G2E,5,5,0.05352268740461202,0.12120162159912264,0.9035313397373879,0.9770745883206635,0.4354216606738524
RXFP2,5,5,0.060599426897112715,0.06759339607512005,0.9461093125461859,0.9989185323739767,0.8841119748142061
LYZL6,6,6,0.06061908861626575,0.1268832436710451,0.8990328090548076,0.9770745883206635,0.47227036207679357
KRT25,5,5,0.06942318904484539,0.22993582457654482,0.8181416380569644,0.9167129197505745,0.29753820255199637
OR52E8,5,5,0.18735485666827725,0.4382019355818314,0.6612399055980127,0.7884014259053228,0.4205093315612606
TAAR8,5,5,0.22440491353630934,0.32513683126266907,0.7450775146695258,0.8771165679021,0.6796488840829364
RNASE9,5,5,0.2830464853033661,0.7233626026405128,0.4694571407598046,0.6327465810240844,0.383032352359341
DMRTB1,5,5,0.29941461390516383,0.6652686633948198,0.5058786698681044,0.6720959471104815,0.4410723394549915
ABCG8,5,5,0.3234269052524103,1.0135036421469843,0.31081965734035855,0.498383243666437,0.31013570660092127
OR9Q2,5,5,0.4298491960236707,0.8073882990977548,0.4194428060811062,0.5822116562021324,0.520198615725725
TAAR1,5,5,0.5278592739298311,0.8321408478715168,0.4053294475750262,0.5822116562021324,0.619447908977486
ADH7,5,5,0.574370034630353,1.0675712746702009,0.28571394688934904,0.4744892332269547,0.5220286673214168
OTUD6A,7,7,0.7852709311305359,2.0964885037262126,0.036038878682013255,0.0728612112484181,0.35517259309907445
MAGEB3,5,5,0.9861028740667656,2.449226072431481,0.01431635594733559,0.03247368544151731,0.3637553852705537
OLIG2,5,5,0.9960649565606203,2.691569869085713,0.007111660017794427,0.02133498005338328,0.3281235540416883
DEFB129,5,5,1.0182293467438395,2.8983984807771015,0.0037507371269655285,0.012919205659547931,0.3060490567990838
