sgRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RPS19-10,5855.705897904048,-2.9516882468934096,0.0870129562572846,-33.922399305290796,3.114666522445687e-252,2.721085934609368e-250
NUP93-4,4499.358944083858,-4.685751549174431,0.3928018658756006,-11.92904605666613,8.352514342054065e-33,3.6320209424045053e-32
PSMD11-2,5221.6428850423645,-3.3368019304805125,0.09545037347396423,-34.95850051745145,9.618190009811857e-268,1.0270089554921326e-265
RPS3A-3,6065.656731299984,-1.4583489036704196,0.06811928246701651,-21.408753158498914,1.1073582651853906e-101,1.4380693146529193e-100
PSMB3-3,4103.553407711629,-3.606612967216804,0.09517992862183317,-37.892579028363436,0,0
POLR2A-5,4500.847576253743,-3.10966653762383,0.1886316600655057,-16.485390292085345,4.67267573036875e-61,3.075644778687924e-60
RPS8-8,4094.69573904997,-3.472346633099457,0.07071424859590593,-49.103917556164085,0,0
RPL36-3,3219.6770567884773,-4.447993560168158,0.5786546553623666,-7.686784369483253,1.508791078100959e-14,4.08436120015499e-14
RPS13-4,3031.9905190701156,-4.3494145709306,0.10344840637983382,-42.04428780623993,0,0
RPS11-2,6111.248960266383,-1.6698946438773186,0.06818467124248749,-24.49076329690899,1.8528798697062348e-132,3.4914069701719446e-131
NUP93-7,4461.7848541193,-2.537820006420698,0.06938773108521326,-36.57447745775212,7.28154756209113e-293,1.3995134414339153e-290
PSMC1-10,4034.269452999401,-2.793421767356105,0.08326464208059536,-33.54871524761055,9.399853922506996e-247,6.94866124579171e-245
RPS9-10,3614.656154719593,-2.5300428779923747,0.08853221012237021,-28.577654104594487,1.273714461478364e-179,4.2208261982093376e-178
COPB1-3,3339.6399236887505,-3.6957495735922623,0.10834354300279643,-34.11139668468173,4.998942331777602e-255,4.8039835808382757e-253
PSMC1-6,4949.925703665977,-2.1543231046802185,0.07310140517477567,-29.47033780718059,6.910374280752945e-191,3.0185771290016272e-189
PSMC1-9,4950.807876080618,-1.9997660579312226,0.06022554509910989,-33.20461532793629,9.234696858604193e-242,6.338959772227592e-240
RPL5-6,4658.352887210898,-1.6757427135645466,0.09620490206161615,-17.41847533394179,5.9748131839951475e-68,4.556980531602649e-67
RPL11-2,4130.71652638094,-2.3116955294969976,0.08374103285206051,-27.605290390684697,9.613420483124501e-168,2.4968911038601745e-166
PSMB2-1,3216.347519153518,-4.150310633815017,0.09282572071555915,-44.71078276389137,0,0
RPS11-10,3234.0332108435387,-3.222096471477276,0.3739358005208358,-8.616710320299326,6.8905168231934795e-18,2.0955021098382705e-17
PSMB2-13,3094.1838180884038,-3.449672108850532,0.1336580030112126,-25.80969362950259,6.902122389370707e-147,1.4739865813744998e-145
NUP93-1,4364.984677603819,-2.466461621788707,0.10970789896674359,-22.482078729229702,6.215957716176866e-112,9.190054408070721e-111
COPZ1-18,5158.184028277279,-2.293114355602632,0.17781348042966008,-12.89617834408088,4.729777785859999e-38,2.2390721439465313e-37
RPS8-7,3180.5967552745965,-2.991116815191951,0.10604485252161552,-28.206148097403034,4.9155895459597176e-175,1.4314792586870572e-173
PSMC1-8,4549.926095961506,-1.743092422884387,0.0727975960802098,-23.944367901431992,1.0576859783861376e-126,1.8150646879090682e-125
PSMD6-7,3400.1532086495467,-2.9570696575060564,0.09998964469319101,-29.573759028542923,3.2508203952113844e-192,1.4876373332372095e-190
COPA-8,2824.958207075857,-4.433801837890629,0.1507954604664672,-29.402754062855795,5.064023612461469e-190,2.115881170250205e-188
RPL18A-6,3206.8041660683043,-3.042579085715599,0.13113966215077386,-23.201059357751628,4.442467322775652e-119,6.998706716700658e-118
RPL5-5,3768.428369229474,-2.5879552723020876,0.08961119935982245,-28.87981960726226,2.1403126549206536e-183,7.617927634736104e-182
POLR2F-2,5004.669857728018,-1.2513898121514513,0.05778313825425918,-21.65666057535758,5.260103622367622e-104,7.326028378398963e-103
PSMB3-9,2857.9830697660045,-3.5408816948356447,0.09795525931639315,-36.14794876300293,4.007074042223042e-286,6.417996924293906e-284
POLR2D-9,2983.1336921397974,-3.0007997510082514,0.10024472268013211,-29.934740411057984,6.951779509429988e-197,3.929800063860128e-195
PSMB2-2,2426.125445583381,-4.688826259810714,0.13945022962966946,-33.62365391769221,7.569658384633564e-248,6.062034756360712e-246
PSMA3-6,2938.69911948785,-3.5827034060010954,0.10072340509463062,-35.56972088696873,4.1184375220534525e-277,5.6540263695619535e-275
RPL34-1,3054.515407110583,-2.5800919120102552,0.10047754209247803,-25.67829445544734,2.0431385270672428e-145,4.2683828793730875e-144
PSMB2-10,2945.5968537573226,-3.461911054990763,0.14640890698966658,-23.64549484161576,1.3132548820487223e-123,2.139047358726817e-122
RPS24-7,4848.644580974383,-1.686758893282477,0.07559834142139815,-22.312115075120406,2.818488586486304e-110,4.1038901994141487e-109
NUP93-2,2686.5024344277695,-4.2202782777872025,0.14213710015467512,-29.691602496425283,9.85611337651972e-194,4.985118397281816e-192
PSMC4-5,10198.570354818361,-0.16593457769846995,0.06320508497904462,-2.625335884818205,0.008656352774485369,0.011935086106571648
RPL27-10,2909.5601310850893,-2.8203194112882253,0.14107625466224996,-19.991453686095788,6.536358065239955e-89,6.475711444016079e-88
RPL36-1,2689.9527970073786,-2.8777878288559666,0.1024710574029701,-28.083908781569324,1.5403394786431749e-173,4.22933211136026e-172
RPL9-3,3231.1731421674244,-2.725432539491177,0.11569780252636842,-23.55647626816447,1.0774617770759919e-122,1.7257346129500469e-121
RPS19-2,3488.9810222983037,-2.423010762436653,0.26626467017597527,-9.100008502199247,9.032475865483951e-20,2.952452145146285e-19
PSMC2-14,3836.923338151473,-1.9275074197575368,0.06919090843694312,-27.857813451230573,8.662267174121567e-171,2.312344098425229e-169
NUP54-18,2338.7901881948833,-3.05797439951191,0.12182089336274858,-25.102216172443562,4.7038028803585995e-139,9.040709136049228e-138
PSMB2-12,2122.0139456915927,-4.671512026837575,0.5174152641827826,-9.028554722319347,1.7395396081381469e-19,5.5909617505711e-19
