gene,nSGRNA,nSGRNA.good,beta,zstat,pval,FDR,bsta
RPL11,10,10,-2.2881120100563255,-3.7689896249573365,1.639096998364273e-4,3.313826540171248e-4,0.5471212130156908
PSMB2,24,24,-2.2234830519101068,-6.140341603352934,8.234420781373844e-10,4.786257079173547e-9,0.3254488732857334
NUP93,11,11,-2.0404929766560906,-3.870717301035974,1.0851557693453187e-4,2.2426552566469924e-4,0.47761701958847863
PSMD7,10,10,-2.0395700026085137,-5.858957852099461,4.657808832733495e-9,2.4065345635789728e-8,0.2705750987754168
RPS19,10,10,-2.0149767607948146,-4.668243563033941,3.037856390799087e-6,8.561231646797427e-6,0.36838924422608776
COPA,10,10,-1.922374629618458,-3.644013103264149,2.6841974546792827e-4,0.00052006325684411105,0.47854916159815136
RPS13,10,10,-1.9179288771745582,-4.694901734116704,2.667349161526475e-6,7.751983500686318e-6,0.34802179915616155
COPB1,10,10,-1.8576518526897376,-4.274354963944575,1.916914371752046e-5,4.5711035018702636e-5,0.38049507529087195
RPL35A,7,7,-1.7870160883727548,-2.7227835944518226,0.006473444641328027,0.009406724244429789,0.6035812910694173
PSMD11,10,10,-1.7431319108489924,-4.347658677287467,1.3759851693989858e-5,3.458557317678532e-5,0.34942673498196763
RPL36,10,10,-1.7354257576339576,-3.0349719883425417,0.002405580280534929,0.0039949815373169365,0.5336411636952808
RPL18A,8,8,-1.7348563589348458,-4.501586220324021,6.744819345527878e-6,1.7921948546688363e-5,0.3189670906167053
RPS8,10,10,-1.7233839728656566,-3.72652025663715,1.941414763159034e-4,3.841522829229578e-4,0.4177205850411881
RPL9,10,10,-1.695287194777954,-2.816956143183404,0.004848114531881287,0.007300505332529537,0.5666111725092581
RPL34,7,7,-1.549467216048165,-3.0472856494461547,0.002309181543953747,0.003976923770142565,0.45869059624170627
COPS4,10,10,-1.5450097088600876,-4.035168033447525,5.456323458734347e-5,1.2081859087197482e-4,0.34001640987062626
POLR2D,10,10,-1.5320640055466395,-4.081877139226165,4.467341235925659e-5,1.0133237437587469e-4,0.33240929041737627
RPS9,10,10,-1.317504631480012,-2.356006482505621,0.01847259532815614,0.023860435632201683,0.5351669956408548
POLR2A,10,10,-1.2476516095873877,-2.2375515322254405,0.025250315241196218,0.03131039089908331,0.535601954051908
PSMD6,19,19,-1.2290692400266794,-5.160124177407571,2.4678609751367554e-7,9.978742203813837e-7,0.21626383556961654
PSMA3,10,10,-1.1741957000575527,-2.559833414313789,0.010472234830146051,0.01453608715229228,0.43598464517204744
PSMC4,10,10,-1.1431321398657852,-2.993700106855225,0.0027561670538722516,0.0044193713105193,0.3569714598478676
