gene,log2FC,p_value_neg,p_value_pos,p_value_twosided,fdr_neg,fdr_pos,fdr_twosided
RPS19,-1.974511254365168,6.011149054350895e-26,0.9968441663119795,0.9968441663119795,9.317281034243887e-25,1,1
NUP93,-2.009725643879994,2.368245339064605e-27,0.6118257970497707,0.6118257970497707,5.506170413325207e-26,0.7902749878559538,0.7902749878559538
PSMD11,-1.7172286842764073,1.0108852947040934e-22,1,1,9.401233240748069e-22,1,1
RPS3A,-0.6179606905482729,1.9653266395652004e-8,0.9991507968241932,0.9991507968241932,4.5693844369890906e-8,1,1
PSMB3,-0.8416139534715675,9.443547373800637e-8,0.0815788188426552,0.0815788188426552,2.1420729408864858e-7,0.12859034156554125,0.12859034156554125
POLR2A,-1.2242134580212674,1.4065688324604578e-13,0.006934196679450261,0.006934196679450261,4.3576113073253547e-13,0.011942227614608782,0.011942227614608782
RPS8,-1.7028826526666603,6.511043485076274e-20,0.986101965746065,0.986101965746065,3.784544025700584e-19,1,1
RPL36,-1.7001598813393035,3.2370768139394606e-18,0.595728721279458,0.595728721279458,1.6724896872020546e-17,0.7803207194223887,0.7803207194223887
RPS13,-1.8959804863572167,3.3046391001169414e-22,1,1,2.7939221482806865e-21,1,1
RPS11,-0.8824581612682361,3.804904738070121e-9,0.0926515901594512,0.0926515901594512,9.073234375397981e-9,0.14360996474714935,0.14360996474714935
PSMC1,-0.9887452404820607,1.7752156991224592e-17,0.5615808202006813,0.5615808202006813,8.689213685178353e-17,0.7461002325523338,0.7461002325523338
RPS9,-1.291420380813046,3.36477263851491e-15,0.002666169949405414,0.002666169949405414,1.4203735815230107e-14,0.0046783736848057264,0.0046783736848057264
COPB1,-1.840172702176264,1.4519245921371567e-28,0.9506851122026616,0.9506851122026616,4.500966235625186e-27,1,1
RPL5,-0.7146273056896986,1.467583605804574e-10,0.008527459522236838,0.008527459522236838,3.8995792954235824e-10,0.014419158828509563,0.014419158828509563
RPL11,-2.255141882189311,3.3481746981180116e-23,0.9999998125293206,0.9999998125293206,3.459780521388612e-22,1,1
PSMB2,-2.191349396445767,2.3798743516074785e-52,0.682047056826954,0.682047056826954,2.2132831469949547e-50,0.8571672470933341,0.8571672470933341
COPZ1,-0.7157426772816263,4.9364418098701305e-15,0.02418490138401239,0.02418490138401239,1.9128712013246755e-14,0.039459575942336005,0.039459575942336005
PSMD6,-1.2160526310572588,6.2141499916709905e-30,0.9999999991005607,0.9999999991005607,2.88957974612701e-28,1,1
COPA,-1.8792933370137148,2.101340186952501e-25,0.17668420342509508,0.17668420342509508,2.442807967332282e-24,0.25674423310209127,0.25674423310209127
RPL18A,-1.7241721173079572,5.17096013280064e-26,1,1,9.317281034243887e-25,1,1
POLR2F,-0.7115910363396178,4.2385119858383124e-16,0.39490334806140465,0.39490334806140465,1.87705530801411e-15,0.5322610343436324,0.5322610343436324
POLR2D,-1.5127958669395045,1.7463988232890982e-25,0.30381387060374254,0.30381387060374254,2.320215579512659e-24,0.41985299888022015,0.41985299888022015
