gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
PSMD6	2.01997739356e-09	0.0	0.0	True	19	18	-1.29085614871
PSMB2	2.36882079052e-09	0.0	0.0	True	24	20	-2.12591675638
RPS9	2.78669078838e-06	0.0	0.0	True	10	6	-2.28015722245
NUP98	2.86106991264e-06	0.0	0.0	True	16	13	-0.557570552632
COPB1	2.89529486584e-06	0.0	0.0	True	10	9	-1.53376624198
POLR2D	5.004759211e-06	0.0	0.0	True	10	8	-1.92053993531
PSMC2	5.20884045656e-06	0.0	0.0	True	14	11	-1.20250656767
RPS13	6.49497363082e-06	0.0	0.0	True	10	10	-1.93338762357
RPS19	6.52155460363e-06	0.0	0.0	True	10	9	-2.13888029969
POLR2A	9.53727357916e-06	0.0104166666667	0.0745192307692	False	10	9	-1.36230425635
RPS8	1.01748237689e-05	0.0104166666667	0.0745192307692	False	10	7	-2.17916815755
COPS4	1.28671912311e-05	0.0104166666667	0.0745192307692	False	10	9	-1.70573982105
PSMD7	1.51322264697e-05	0.0104166666667	0.0745192307692	False	10	8	-1.69751611876
PSMD11	2.64980669888e-05	0.0208333333333	0.129166666667	False	10	10	-1.38642725274
NUP93	3.67380267301e-05	0.0208333333333	0.129166666667	False	11	9	-1.93823632082
RPL11	3.99043639576e-05	0.03125	0.138392857143	False	10	10	-2.32151769264
RPL3	6.2473346144e-05	0.03125	0.138392857143	False	11	10	-0.473902972876
COPA	6.82246717724e-05	0.03125	0.138392857143	False	10	9	-1.79833369813
COPZ1	0.000118678891794	0.0416666666667	0.138392857143	False	16	9	-0.323293572753
PSMD1	0.000158876576214	0.0416666666667	0.138392857143	False	12	8	-0.578560802219
RPL36	0.00017536935279	0.0416666666667	0.138392857143	False	10	8	-1.61985523184
PSMC1	0.000188703555132	0.0416666666667	0.138392857143	False	10	8	-1.70348235968
NUP133	0.000227888427483	0.0416666666667	0.138392857143	False	10	7	-0.943355072785
POLR2F	0.000251332082986	0.0416666666667	0.138392857143	False	10	8	-1.06883820333
NUP54	0.000257289312859	0.0416666666667	0.138392857143	False	11	8	-0.79557098032
PSMC4	0.000263369730289	0.0416666666667	0.138392857143	False	10	8	-0.699138761206
NUP205	0.000282372038431	0.0416666666667	0.138392857143	False	10	8	-0.955179237512
COPS6	0.000309568849725	0.0416666666667	0.138392857143	False	10	8	-0.761845018739
RPL35A	0.000351019443084	0.0520833333333	0.161458333333	False	7	5	-2.12198615161
POLA1	0.000424963002551	0.0520833333333	0.161458333333	False	10	7	-0.905374934827
PSMA3	0.000586041605549	0.0729166666667	0.21875	False	10	6	-0.933155555167
RPL9	0.000925522971256	0.104166666667	0.302734375	False	10	6	-1.0174857696
COPS8	0.00109719207381	0.114583333333	0.322916666667	False	16	7	-0.0869476959435
RPL34	0.0015358599547	0.145833333333	0.398897058824	False	7	6	-2.23859459764
RPL5	0.00170015366586	0.166666666667	0.433388157895	False	10	6	-0.6594705147
RPS3A	0.0017311116338	0.177083333333	0.433388157895	False	6	6	-1.12273198134
RPS11	0.00185968367726	0.177083333333	0.433388157895	False	10	6	-0.768496791626
RPL18A	0.00189304037023	0.177083333333	0.433388157895	False	8	6	-0.798914490846
RPL30	0.00209977721284	0.21875	0.50859375	False	10	5	-0.351503726087
PSMB3	0.00225494076385	0.21875	0.50859375	False	10	6	-0.445934171904
RPS24	0.00310210189844	0.270833333333	0.614329268293	False	13	6	-0.113287785094
COPS2	0.00338171219905	0.3125	0.691964285714	False	10	5	-0.273104479396
RPL27	0.0050712543789	0.416666666667	0.901162790698	False	10	5	-0.136628678553
RPS27	0.0166105047457	0.635416666667	1.0	False	5	4	-0.53126439926
RPS7	0.0342210727124	0.760416666667	1.0	False	8	3	0.218460058443
RPL6	0.09941192458	0.90625	1.0	False	2	2	-0.818735220251
LYZL6	0.37669094693	0.989583333333	1.0	False	10	1	0.258063712517
TGM6	1.0	1.0	1.0	False	14	0	0.569286876808
IL22	1.0	1.0	1.0	False	10	0	0.478064759474
FAM71B	1.0	1.0	1.0	False	10	0	0.553899491135
LHX5	1.0	1.0	1.0	False	10	0	0.445359058633
OR12D2	1.0	1.0	1.0	False	10	0	0.470933808531
RXFP2	1.0	1.0	1.0	False	10	0	0.493160631489
SAGE1	1.0	1.0	1.0	False	10	0	0.551290029987
RPTN	1.0	1.0	1.0	False	10	0	0.453136933657
RNASE9	1.0	1.0	1.0	False	11	0	0.46831496928
KRT25	1.0	1.0	1.0	False	10	0	0.359238622775
DMRTC2	1.0	1.0	1.0	False	10	0	0.313934195189
TAAR1	1.0	1.0	1.0	False	10	0	0.602650482961
OR9Q2	1.0	1.0	1.0	False	10	0	0.388405400056
OTUD6A	1.0	1.0	1.0	False	10	0	0.434269253526
FCRL4	1.0	1.0	1.0	False	10	0	0.423173434721
TAS2R9	1.0	1.0	1.0	False	10	0	0.598127886434
DMRTB1	1.0	1.0	1.0	False	10	0	0.357398297783
KRT9	1.0	1.0	1.0	False	10	0	0.387730570723
VN1R2	1.0	1.0	1.0	False	10	0	0.549156796281
SPATA16	1.0	1.0	1.0	False	10	0	0.402946521137
NPHS2	1.0	1.0	1.0	False	10	0	0.505386264632
TRIM42	1.0	1.0	1.0	False	10	0	0.486269331594
MAGEB3	1.0	1.0	1.0	False	10	0	0.573607375787
ABCG8	1.0	1.0	1.0	False	10	0	0.509450151931
CABP5	1.0	1.0	1.0	False	10	0	0.471877854615
TPH2	1.0	1.0	1.0	False	10	0	0.388280270843
KRT74	1.0	1.0	1.0	False	10	0	0.387807534201
KRT77	1.0	1.0	1.0	False	10	0	0.492057365866
PIWIL3	1.0	1.0	1.0	False	10	0	0.397850588374
CRYGB	1.0	1.0	1.0	False	10	0	0.50620060451
