	sgID	gene	Control_3	Control_2	Control_1	Model	Mean	Sample Variance	Model Variance	n	p
0	ABCG8-1	ABCG8	1142.74885364	1156.32410923	1182.04073052	Neg. Binomial	1160.37123113	265.498195962	2469.7299228	1028.33654567	0.469837296952
1	ABCG8-10	ABCG8	1059.41991636	1014.14607054	1020.36748818	Neg. Binomial	1031.31115836	401.502144393	2065.60553391	1028.33654567	0.499277883134
2	ABCG8-2	ABCG8	712.664016045	713.896979769	795.895548396	Neg. Binomial	740.81884807	1516.97482599	1274.50849274	1028.33654567	0.581258463393
3	ABCG8-3	ABCG8	1197.51746968	1176.29776119	1108.99827393	Neg. Binomial	1160.93783493	1423.90500334	2471.57554615	1028.33654567	0.469715698855
4	ABCG8-4	ABCG8	905.530185404	956.80236007	935.299749095	Neg. Binomial	932.54409819	441.936121786	1778.21908536	1028.33654567	0.524425874104
5	ABCG8-5	ABCG8	908.218215638	874.545277262	871.61028999	Neg. Binomial	884.791260963	275.846794379	1646.07469368	1028.33654567	0.537515863867
6	ABCG8-6	ABCG8	1801.98826876	1696.04225308	1721.39691917	Neg. Binomial	1739.809147	2040.2647733	4683.33564204	1028.33654567	0.37148931445
7	ABCG8-7	ABCG8	1086.63622248	1101.34287372	1142.62452681	Neg. Binomial	1110.20120767	561.683410476	2308.78422672	1028.33654567	0.480859664069
8	ABCG8-8	ABCG8	1136.36478183	1027.89137941	1076.93085396	Neg. Binomial	1080.39567173	1967.08231986	2215.48594195	1028.33654567	0.487656297553
9	ABCG8-9	ABCG8	1090.33226406	1135.27660501	1093.18725436	Neg. Binomial	1106.26537448	422.184243465	2296.36513697	1028.33654567	0.481746285321
10	ADH7-1	ADH7	906.874200521	910.19717216	1012.5733236	Neg. Binomial	943.21489876	2407.13590487	1808.35418511	1028.33654567	0.521587478011
11	ADH7-10	ADH7	1110.15648704	1059.46263574	959.127623655	Neg. Binomial	1042.91558215	3938.52208723	2100.61689215	1028.33654567	0.496480622451
12	ADH7-2	ADH7	400.51650501	417.943298024	484.797036614	Neg. Binomial	434.418946549	1319.59149841	617.938458635	1028.33654567	0.703013286321
13	ADH7-3	ADH7	1221.37373801	1175.22390893	1219.6754109	Neg. Binomial	1205.42435261	456.514118497	2618.43245389	1028.33654567	0.460361064812
14	ADH7-4	ADH7	518.453831569	664.499775994	541.137711976	Neg. Binomial	574.697106513	4118.01946134	895.872859359	1028.33654567	0.641494047408
15	ADH7-5	ADH7	1094.70031319	1169.42510675	1154.6498093	Neg. Binomial	1139.59174308	1044.00514124	2402.47532566	1028.33654567	0.474340664775
16	ADH7-6	ADH7	994.235183157	1018.01193866	1007.67413444	Neg. Binomial	1006.64041875	94.7566344364	1992.04246143	1028.33654567	0.505330804057
17	ADH7-7	ADH7	560.118300211	649.25107396	538.465426979	Neg. Binomial	582.611600383	2298.55087249	912.694469003	1028.33654567	0.638342424732
18	ADH7-8	ADH7	366.916127073	350.7201468	328.913745098	Neg. Binomial	348.850006324	242.445551996	467.192904302	1028.33654567	0.746693717116
19	ADH7-9	ADH7	1153.1649708	1070.6306992	1108.77558351	Neg. Binomial	1110.8570845	1137.48398795	2310.85670271	1028.33654567	0.480712232481
20	CABP5-1	CABP5	1924.62964823	2075.54164034	2036.50385845	Neg. Binomial	2012.22504901	4090.46852109	5949.70025097	1028.33654567	0.33820612201
21	CABP5-10	CABP5	788.600870183	801.952864759	786.765241322	Neg. Binomial	792.439658755	45.8121331263	1403.09636974	1028.33654567	0.564779209642
22	CABP5-2	CABP5	440.836958534	405.701382306	454.95652081	Neg. Binomial	433.83162055	428.88215831	616.855238432	1028.33654567	0.703295673799
23	CABP5-3	CABP5	1187.10135252	1195.41233135	1088.2880652	Neg. Binomial	1156.93391636	2367.63850203	2458.54679052	1028.33654567	0.470576326152
24	CABP5-4	CABP5	1820.13247285	2052.13166116	1984.17161058	Neg. Binomial	1952.1452482	9483.44783984	5658.00505266	1028.33654567	0.345023595778
25	CABP5-5	CABP5	1084.95620359	1028.10614987	1040.18693524	Neg. Binomial	1051.08309623	598.017930191	2125.41589111	1028.33654567	0.494530553115
26	CABP5-6	CABP5	1693.79505181	1710.43187331	1648.35446257	Neg. Binomial	1684.1937959	688.35954492	4442.54052011	1028.33654567	0.379106006636
27	CABP5-7	CABP5	749.288427996	799.590389795	761.823914679	Neg. Binomial	770.234244157	457.081381099	1347.14731155	1028.33654567	0.571752055291
28	CABP5-8	CABP5	1080.92415823	1124.53808245	1003.22032611	Neg. Binomial	1069.5608556	2517.5619906	2181.99863547	1028.33654567	0.490174850805
29	CABP5-9	CABP5	1129.30870246	1219.25185143	1176.91885094	Neg. Binomial	1175.15980161	1349.84213505	2518.10590728	1028.33654567	0.466684025566
30	COPA-1	COPA	886.713973759	879.699768091	934.854368262	Neg. Binomial	900.422703371	600.969620453	1688.84265028	1028.33654567	0.533159618641
31	COPA-10	COPA	1217.00568888	1255.97759858	1146.85564472	Neg. Binomial	1206.61297739	2038.60436173	2622.40908359	1028.33654567	0.460116228603
32	COPA-2	COPA	845.721512676	862.088591093	757.37010635	Neg. Binomial	821.726736706	2115.5348114	1478.35499004	1028.33654567	0.555838578856
33	COPA-3	COPA	1019.09946283	1106.49736455	1075.59471146	Neg. Binomial	1067.06384628	1309.45336787	2174.31346882	1028.33654567	0.490758973617
34	COPA-4	COPA	636.391158128	719.910552402	666.735106855	Neg. Binomial	674.345605795	1191.54138371	1116.55686238	1028.33654567	0.603950975104
35	COPA-5	COPA	759.704545157	726.353665938	686.554553919	Neg. Binomial	724.204255005	894.1301867	1234.22386403	1028.33654567	0.586768961541
36	COPA-6	COPA	544.66212636	621.116144853	583.226200685	Neg. Binomial	583.001490633	974.228071258	913.52629743	1028.33654567	0.638187967082
37	COPA-7	COPA	766.760624524	693.708557357	672.302367266	Neg. Binomial	710.923849716	1635.24353953	1202.40956247	1028.33654567	0.591249331266
38	COPA-8	COPA	1257.3261424	1222.25863775	1249.07054587	Neg. Binomial	1242.88510867	224.084797053	2745.08144689	1028.33654567	0.452768026275
39	COPA-9	COPA	859.833671409	867.457852373	846.668963347	Neg. Binomial	857.986829043	73.7350645183	1573.84332749	1028.33654567	0.545153900681
40	COPB1-1	COPB1	933.082495312	954.010344204	1027.71627192	Neg. Binomial	971.603037145	1647.34336831	1889.60256343	1028.33654567	0.514183805604
41	COPB1-10	COPB1	476.117355368	470.991599469	569.864775698	Neg. Binomial	505.657910178	2065.63968552	754.302114454	1028.33654567	0.670365229646
42	COPB1-2	COPB1	933.754502871	950.144476083	1000.10266028	Neg. Binomial	961.333879745	796.281042413	1860.03074337	1028.33654567	0.516837629255
43	COPB1-3	COPB1	1426.67204721	1373.02749448	1475.99208024	Neg. Binomial	1425.23054064	1767.98995738	3400.5392103	1028.33654567	0.419118984521
44	COPB1-4	COPB1	725.76816344	643.237501326	724.411924715	Neg. Binomial	697.80586316	1489.15962055	1171.3210997	1028.33654567	0.595742587871
45	COPB1-5	COPB1	1241.53396477	1281.75005273	1205.20053383	Neg. Binomial	1242.82818378	977.475642056	2744.88692213	1028.33654567	0.452779374537
46	COPB1-6	COPB1	1873.55707377	1578.99235718	1672.85040838	Neg. Binomial	1708.46661311	15095.6523963	4546.89356624	1028.33654567	0.375743700226
47	COPB1-7	COPB1	643.783241274	699.936900441	681.878055173	Neg. Binomial	675.199398963	547.841130695	1118.53113727	1028.33654567	0.603648281628
48	COPB1-8	COPB1	943.498612472	977.635093835	978.724380303	Neg. Binomial	966.619362203	267.482291571	1875.22559167	1028.33654567	0.515468307651
49	COPB1-9	COPB1	1687.41098	1649.22229472	1588.89612138	Neg. Binomial	1641.84313203	1644.75558246	4263.21147838	1028.33654567	0.385118857078
50	COPS2-1	COPS2	1385.00757857	1352.40953117	1393.81931657	Neg. Binomial	1377.07880877	317.22774975	3221.16968889	1028.33654567	0.427508930535
51	COPS2-10	COPS2	926.698423504	874.545277262	957.56879074	Neg. Binomial	919.604163835	1173.9815585	1741.97289293	1028.33654567	0.527909571709
52	COPS2-2	COPS2	1368.87939716	1370.66501952	1422.99176112	Neg. Binomial	1387.51205927	629.936029669	3259.6518006	1028.33654567	0.425662660966
53	COPS2-3	COPS2	0.0	0.0	0.0	Neg. Binomial	0.0	0.0	0.0	1.0	0.5
54	COPS2-4	COPS2	1563.76158919	1543.77000318	1526.98818561	Neg. Binomial	1544.83992599	225.952902556	3865.60777869	1028.33654567	0.399637007797
55	COPS2-5	COPS2	157.921776304	173.319754114	150.984102354	Neg. Binomial	160.741877591	87.1233755575	185.86784566	1028.33654567	0.864818102451
56	COPS2-6	COPS2	730.808220131	656.123728398	767.391175091	Neg. Binomial	718.107707873	2144.05895473	1219.5764948	1028.33654567	0.588817274633
57	COPS2-7	COPS2	825.897289693	903.324517722	910.581112869	Neg. Binomial	879.934306761	1468.77596901	1632.8827335	1028.33654567	0.538883955786
58	COPS2-8	COPS2	0.0	0.0	0.0	Neg. Binomial	0.0	0.0	0.0	1.0	0.5
59	COPS2-9	COPS2	1005.99531544	1015.43469325	951.556149496	Neg. Binomial	990.995386062	792.576999361	1946.00555207	1028.33654567	0.509245919163
60	COPS4-1	COPS4	844.041493779	900.532501857	857.580793753	Neg. Binomial	867.384929796	579.932874056	1599.00982401	1028.33654567	0.542451282521
61	COPS4-10	COPS4	714.008031162	669.869037274	657.382109364	Neg. Binomial	680.419725933	590.074352172	1130.63323375	1028.33654567	0.601804109081
62	COPS4-2	COPS4	1004.31529654	981.930502859	1017.69520318	Neg. Binomial	1001.31366753	217.690519876	1976.31457068	1028.33654567	0.50665702838
63	COPS4-3	COPS4	793.304923094	642.593189973	655.377895616	Neg. Binomial	697.092002894	4655.7044564	1169.6389162	1028.33654567	0.595989064007
64	COPS4-4	COPS4	1175.34122024	1088.02710575	1160.66245054	Neg. Binomial	1141.34359218	1457.23490909	2408.11292065	1028.33654567	0.473957671332
65	COPS4-5	COPS4	1055.387871	971.1919803	1001.21611236	Neg. Binomial	1009.26532122	1213.88621676	1999.81310726	1028.33654567	0.504679821107
66	COPS4-6	COPS4	1614.83416365	1385.05463975	1400.72271948	Neg. Binomial	1466.87050763	10987.536539	3559.28771793	1028.33654567	0.412124735024
67	COPS4-7	COPS4	830.265338825	805.603962429	889.202832889	Neg. Binomial	841.690711381	1230.06475939	1530.61230676	1028.33654567	0.549904575878
68	COPS4-8	COPS4	809.769108283	789.496178589	858.026174586	Neg. Binomial	819.097153819	826.232941989	1471.52961887	1028.33654567	0.55662974317
69	COPS4-9	COPS4	1892.03728164	1854.32807561	1879.72980526	Neg. Binomial	1875.36505417	246.522895941	5295.4458645	1028.33654567	0.354146771048
70	COPS6-1	COPS6	1026.49154598	1078.5772059	1093.18725436	Neg. Binomial	1066.08533541	819.409666846	2171.3051656	1028.33654567	0.490988255498
71	COPS6-10	COPS6	652.855343317	680.607559834	708.378214731	Neg. Binomial	680.613705961	513.79822723	1131.083952	1028.33654567	0.601735799324
72	COPS6-2	COPS6	664.615475595	673.949675847	648.474492706	Neg. Binomial	662.346548049	110.738175448	1088.96072564	1028.33654567	0.608237315136
73	COPS6-3	COPS6	465.365234428	452.950881568	503.725722012	Neg. Binomial	474.013946003	467.08084297	692.511695549	1028.33654567	0.684485112741
74	COPS6-4	COPS6	1100.07637366	1082.87261492	1109.66634518	Neg. Binomial	1097.53844459	122.871205532	2268.93572928	1028.33654567	0.483723902103
75	COPS6-5	COPS6	727.112178558	720.554863756	726.416138464	Neg. Binomial	724.694393593	8.6485989364	1235.40459476	1028.33654567	0.586604903906
76	COPS6-6	COPS6	659.239415125	659.560055617	656.045966865	Neg. Binomial	658.281812536	2.5166379857	1079.67590432	1028.33654567	0.609703161754
77	COPS6-7	COPS6	1005.99531544	1132.48458915	1154.6498093	Neg. Binomial	1097.70990463	4287.66576586	2269.4732148	1028.33654567	0.483684891045
78	COPS6-8	COPS6	1235.14989297	1015.43469325	1081.83004312	Neg. Binomial	1110.80487645	8465.56531449	2310.69170215	1028.33654567	0.480723964782
79	COPS6-9	COPS6	1379.29551432	1305.80434326	1325.45335872	Neg. Binomial	1336.8510721	965.112639108	3074.77509756	1028.33654567	0.434780115515
80	COPS8-1	COPS8	1310.41473954	1153.31732291	1219.00733965	Neg. Binomial	1227.5798007	4150.00992953	2693.00682791	1028.33654567	0.455839839684
81	COPS8-10	COPS8	1078.57213178	1029.39477257	1045.53150524	Neg. Binomial	1051.16613653	418.943311365	2125.66869237	1028.33654567	0.494510805142
82	COPS8-11	COPS8	586.662598781	547.879420996	566.969800285	Neg. Binomial	567.170606687	250.709308123	879.988913539	1028.33654567	0.644520172881
83	COPS8-12	COPS8	880.66590573	892.371224711	767.613865507	Neg. Binomial	846.883665316	3164.68632962	1544.33232218	1028.33654567	0.548381752524
84	COPS8-13	COPS8	1327.55093229	1320.62350439	1226.3561234	Neg. Binomial	1291.51018669	2130.52419137	2913.54586106	1028.33654567	0.443277795608
85	COPS8-14	COPS8	1166.60512197	1064.40235612	1076.93085396	Neg. Binomial	1102.64611068	2071.53810541	2284.97153763	1028.33654567	0.482564483856
86	COPS8-15	COPS8	1872.54906243	1918.32967007	1856.12462112	Neg. Binomial	1882.33445121	692.788269234	5327.88250755	1028.33654567	0.353298791506
87	COPS8-16	COPS8	627.655059864	614.243490415	604.159099832	Neg. Binomial	615.352550037	92.6250295935	983.577099122	1028.33654567	0.62562716292
88	COPS8-2	COPS8	563.142334225	534.993193924	593.024579009	Neg. Binomial	563.720035719	561.440478656	872.743652559	1028.33654567	0.645917084663
89	COPS8-3	COPS8	1674.97884016	1480.19794963	1712.93468334	Neg. Binomial	1622.70382438	10394.0698406	4183.31271525	1028.33654567	0.387899240347
90	COPS8-4	COPS8	1303.35866018	1338.23468139	1375.11332159	Neg. Binomial	1338.90222105	858.344710278	3082.16337917	1028.33654567	0.434403390197
91	COPS8-5	COPS8	941.482589796	900.317731405	950.220006997	Neg. Binomial	930.673442733	473.458348328	1772.95903557	1028.33654567	0.52492664752
92	COPS8-6	COPS8	575.910477841	610.377622294	631.772711472	Neg. Binomial	606.020270536	529.591448214	963.160712395	1028.33654567	0.629199533096
93	COPS8-7	COPS8	1209.94960951	1135.49137546	1051.7668369	Neg. Binomial	1132.40260729	4175.06850284	2379.40260004	1028.33654567	0.475918874456
94	COPS8-8	COPS8	1395.08769195	1395.57839186	1436.13049569	Neg. Binomial	1408.93219317	369.913961142	3339.32155189	1028.33654567	0.421921690162
95	COPS8-9	COPS8	1232.46186273	1186.3919724	1168.45661512	Neg. Binomial	1195.77015008	726.7537286	2586.23541931	1028.33654567	0.462359358763
96	COPZ1-11	COPZ1	1274.12633137	1268.00474385	1214.55353132	Neg. Binomial	1252.22820218	715.936051166	2777.09423649	1028.33654567	0.450913111166
97	COPZ1-12	COPZ1	856.809637395	801.523323856	836.202513774	Neg. Binomial	831.511825008	520.430691337	1503.87139255	1028.33654567	0.55291418477
98	COPZ1-13	COPZ1	1733.77950155	1769.06420649	1657.93015048	Neg. Binomial	1720.25795284	2149.8792073	4598.00010522	1028.33654567	0.374131777615
99	COPZ1-14	COPZ1	993.227171819	1033.90495205	1013.24139485	Neg. Binomial	1013.45783957	275.803724913	2012.25224877	1028.33654567	0.503643536833
100	COPZ1-15	COPZ1	1072.86006753	1184.02949743	1035.28774608	Neg. Binomial	1097.39243701	3988.27000868	2268.47807613	1028.33654567	0.483757127106
101	COPZ1-16	COPZ1	987.851111349	1061.3955698	1020.36748818	Neg. Binomial	1023.20472311	905.489512498	2041.30323357	1028.33654567	0.501250723697
102	COPZ1-17	COPZ1	2065.41523179	2084.99154019	2012.45329347	Neg. Binomial	2054.28668848	938.888444266	6158.09279773	1028.33654567	0.33359138226
103	COPZ1-18	COPZ1	2188.05661126	2276.35201221	2254.07239532	Neg. Binomial	2239.49367293	1405.61587808	7116.62454241	1028.33654567	0.314684814351
104	COPZ1-2	COPZ1	762.728579171	793.362046711	780.084528828	Neg. Binomial	778.72505157	157.325644795	1368.42762365	1028.33654567	0.569065574323
105	COPZ1-3	COPZ1	359.524043926	409.567250427	339.380194672	Neg. Binomial	369.490496342	870.702219469	502.25172851	1028.33654567	0.735667943718
106	COPZ1-4	COPZ1	571.542428709	653.116942081	629.99118814	Neg. Binomial	618.216852977	1178.38435625	989.877355478	1028.33654567	0.62453883762
107	COPZ1-5	COPZ1	520.469854245	584.390397699	535.570451565	Neg. Binomial	546.810234503	744.139006156	837.572469704	1028.33654567	0.652851250825
108	COPZ1-6	COPZ1	1252.95809327	1255.97759858	1110.11172601	Neg. Binomial	1206.34913929	4632.33942581	2621.52615695	1028.33654567	0.460170552213
109	COPZ1-7	COPZ1	689.479755268	765.012347153	730.201875543	Neg. Binomial	728.231325988	952.803605585	1243.93882115	1028.33654567	0.585423747218
110	COPZ1-8	COPZ1	911.578253432	910.19717216	916.14837328	Neg. Binomial	912.641266291	6.46779729729	1722.60380671	1028.33654567	0.529803349288
111	COPZ1-9	COPZ1	1150.81294434	1231.92330805	1197.18367884	Neg. Binomial	1193.30664374	1103.99755077	2578.04858645	1028.33654567	0.462872053699
112	CRYGB-1	CRYGB	1050.34781431	1069.3420765	1149.3052393	Neg. Binomial	1089.66504337	1838.60681797	2244.31612695	1028.33654567	0.485522084115
113	CRYGB-10	CRYGB	1517.72907142	1535.82349649	1453.27765776	Neg. Binomial	1502.27674189	1255.02315923	3696.92344459	1028.33654567	0.406358628845
114	CRYGB-2	CRYGB	769.448654758	738.810352108	696.352932243	Neg. Binomial	734.87064637	898.258082317	1260.02446802	1028.33654567	0.583219346151
115	CRYGB-3	CRYGB	1086.97222626	1177.37161345	1108.77558351	Neg. Binomial	1124.37314107	1483.65010169	2353.75175811	1028.33654567	0.477694020704
116	CRYGB-4	CRYGB	1320.15884915	1327.06661793	1263.54542294	Neg. Binomial	1303.59029667	809.748834412	2956.11122354	1028.33654567	0.440981478062
117	CRYGB-5	CRYGB	1431.04009634	1339.952845	1428.55902153	Neg. Binomial	1399.85065429	1794.89973424	3305.43483543	1028.33654567	0.423499697917
118	CRYGB-6	CRYGB	1370.89541983	1249.3197146	1282.47410834	Neg. Binomial	1300.89641426	2633.13269467	2946.59449603	1028.33654567	0.441491496712
119	CRYGB-7	CRYGB	1607.77808429	1440.03587526	1498.03843147	Neg. Binomial	1515.28413034	4838.28184647	3748.09984163	1028.33654567	0.404280620679
120	CRYGB-8	CRYGB	718.040076515	767.374822116	770.286150504	Neg. Binomial	751.900349712	574.671689307	1301.67574987	1028.33654567	0.577640283907
121	CRYGB-9	CRYGB	1135.35677049	1063.97281522	1082.49811437	Neg. Binomial	1093.94256669	914.765922822	2257.67670049	1028.33654567	0.484543498392
122	CYP7A1-1	CYP7A1	890.746019111	822.785598524	857.358103337	Neg. Binomial	856.963240324	769.847752793	1571.11270662	1028.33654567	0.545449881928
123	CYP7A1-10	CYP7A1	1271.77430492	1310.09975228	1303.40700749	Neg. Binomial	1295.09368823	279.362291117	2926.14304494	1028.33654567	0.442594113938
124	CYP7A1-2	CYP7A1	1451.53632688	1351.55044936	1503.16031105	Neg. Binomial	1435.41569576	3960.86240074	3439.05762439	1028.33654567	0.417386346068
125	CYP7A1-3	CYP7A1	1029.17957621	926.304956	950.220006997	Neg. Binomial	968.568179736	1932.19230198	1880.841815	1028.33654567	0.514965252266
126	CYP7A1-4	CYP7A1	1450.86431932	1594.45582966	1521.42092519	Neg. Binomial	1522.24702472	3436.76152717	3775.62994108	1028.33654567	0.40317696609
127	CYP7A1-5	CYP7A1	536.262031875	523.180819109	497.713080768	Neg. Binomial	519.051977251	256.193939454	781.043011433	1028.33654567	0.664562603663
128	CYP7A1-6	CYP7A1	851.433576925	759.857856325	836.42520419	Neg. Binomial	815.905545813	1608.21362385	1463.26351679	1028.33654567	0.557593035328
129	CYP7A1-7	CYP7A1	1908.50146682	1977.17677369	1857.01538279	Neg. Binomial	1914.23120777	2422.87494283	5477.54044949	1028.33654567	0.349469113997
130	CYP7A1-8	CYP7A1	1486.81672371	1568.68337552	1604.92983136	Neg. Binomial	1553.47664353	2440.7400487	3900.26641013	1028.33654567	0.398300136498
131	CYP7A1-9	CYP7A1	683.43168724	703.802768563	678.983079759	Neg. Binomial	688.739178521	116.754223902	1150.02946138	1028.33654567	0.59888829082
132	DEFB129-1	DEFB129	1026.1555422	1100.69856237	1060.67445356	Neg. Binomial	1062.50951938	927.79404262	2160.32762525	1028.33654567	0.491827955611
133	DEFB129-10	DEFB129	790.280889079	849.202364021	837.761346689	Neg. Binomial	825.74819993	650.781215754	1488.81914938	1028.33654567	0.554632978946
134	DEFB129-2	DEFB129	1584.25781973	1597.46261598	1580.21119514	Neg. Binomial	1587.31054362	54.2614817306	4037.43718016	1028.33654567	0.393148047335
135	DEFB129-3	DEFB129	2000.90250615	2079.83704936	2202.4082187	Neg. Binomial	2094.3825914	6873.21176171	6359.94959634	1028.33654567	0.329308048701
136	DEFB129-4	DEFB129	1593.32992177	1609.48976125	1658.59822173	Neg. Binomial	1620.47263492	770.303586934	4174.04478167	1028.33654567	0.388225982153
137	DEFB129-5	DEFB129	1244.89400257	1302.79755694	1295.3901525	Neg. Binomial	1281.02723734	661.950267441	2876.83824854	1028.33654567	0.445289976935
138	DEFB129-6	DEFB129	552.054209506	550.671436862	533.3435474	Neg. Binomial	545.356397923	72.4729655375	834.574555157	1028.33654567	0.653454379304
139	DEFB129-7	DEFB129	742.232348629	715.400372927	764.496199677	Neg. Binomial	740.709640411	402.892687536	1274.24194918	1028.33654567	0.581294345937
