sgRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RPS24-5,4336.958530560478,-3.029165846164541,0.05355011813656245,-56.56693115857601,0,0
RPL11-5,4519.616144315833,-3.2517898460038577,0.05036829379003223,-64.56025410666938,0,0
PSMA3-5,3673.5647495436874,-2.931935777181887,0.0795642437990177,-36.84991696255001,2.9335190885508646e-297,8.014374149920962e-296
PSMA3-3,4065.2793604953713,-3.015513143365086,0.06133302895347813,-49.16621916149601,0,0
RPL34-28,3429.92959743938,-4.339466522992797,0.1778310709532044,-24.402184048785895,1.621282743966459e-131,1.496400154228502e-130
RPS8-20,4708.066636897721,-2.637202924654699,0.11713530637096775,-22.514159106757035,3.0160599503998457e-112,2.3408738024126077e-111
RPL30-17,4609.64479019691,-2.757936076803918,0.11953342308452278,-23.072509810530274,8.74413797180904e-118,7.373143499685894e-117
COPZ1-5,4840.825066016583,-2.447666827876578,0.04750592671955915,-51.52339922397143,0,0
POLR2D-2,5285.558031484162,-2.2569032250482377,0.05744498253059925,-39.28808271194185,0,0
COPZ1-11,3906.1068266518455,-2.8759588656411,0.06942081592996191,-41.427903534620384,0,0
PSMC2-6,4260.448252557218,-2.6594926540300747,0.06242518237315864,-42.60288160845797,0,0
RPS7-11,3818.7140078159287,-2.678169773064049,0.05960094223582945,-44.93502405493938,0,0
RPL30-1,3493.097291831391,-2.920622478873568,0.058422685266784756,-49.99123997017028,0,0
POLR2D-7,3274.5727012795323,-3.5261881426592727,0.08578080459597857,-41.106960458897134,0,0
RPS24-20,5050.024411006788,-1.9937055446060825,0.1964084515424815,-10.150813414334468,3.2861294244206748e-24,1.4574197382333253e-23
PSMD1-9,3472.5711980043843,-3.0140052388585445,0.06549392359366268,-46.019616377818984,0,0
PSMD1-1,4838.190332149063,-1.6999336095734179,0.0471719948884216,-36.0369243148262,2.210249456474487e-284,4.8696786412002405e-283
RPS8-11,3993.6864509974844,-2.4322248931331005,0.05993728505028977,-40.579497237693815,0,0
