gene,log2FC,p_value_neg,p_value_pos,p_value_twosided,fdr_neg,fdr_pos,fdr_twosided
RPS24,-0.9279650818141099,4.2219892687676817e-26,0.014927743445729807,0.014927743445729807,3.5497187062609454e-24,0.018510401872704963,0.018510401872704963
RPL11,-1.3451080848012766,8.934314045602876e-26,1.6387819313104737e-5,1.6387819313104737e-5,3.5497187062609454e-24,2.4984708133094107e-5,2.4984708133094107e-5
PSMA3,-1.560649990442902,1.0972379949260307e-19,0.33237226682651133,0.33237226682651133,1.1338125947568984e-18,0.36798358112935187,0.36798358112935187
RPL34,-1.9996266687147382,7.38336438131076e-25,0.9999999972063234,0.9999999972063234,1.7166322186547517e-23,1,1
RPS8,-1.0319119204409954,1.1054040297529272e-21,0.16131342920090383,0.16131342920090383,1.4686082109574604e-20,0.18521171500844513,0.18521171500844513
RPL30,-0.6355637211944928,4.679739912186452e-6,1.3364815577921386e-10,1.3364815577921386e-10,1.81339921597225e-5,4.971711394986756e-10,4.971711394986756e-10
COPZ1,-1.312981287821039,1.1450705504067565e-25,0.17701506270691258,0.17701506270691258,3.5497187062609454e-24,0.20076098575296183,0.20076098575296183
POLR2D,-1.7425838067467898,3.5683975629974747e-19,0.9999999999999974,0.9999999999999974,3.0169179396251375e-18,1,1
PSMC2,-0.37438355813304575,4.9600221227803925e-5,1.6578727946130089e-9,1.6578727946130089e-9,1.7084520645132463e-4,4.818192809344056e-9,4.818192809344056e-9
RPS7,-0.987089912309063,2.9177632715412093e-19,0.09776876179579172,0.09776876179579172,2.7135198425333247e-18,0.11808434866244974,0.11808434866244974
PSMD1,-1.2136759715207308,2.7303695251017265e-23,0.3613534379206499,0.3613534379206499,5.078487316689211e-22,0.39076592705372604,0.39076592705372604
POLA1,-1.5732618402115472,1.3818071004319182e-18,0.9981277036863437,0.9981277036863437,1.0709005028347367e-17,1,1
RPL6,-1.4860281338126229,3.373078000344863e-20,0.5546706326160575,0.5546706326160575,3.921203175400903e-19,0.5861860094692426,0.5861860094692426
PSMD11,-0.5476653495103705,1.3840114892300954e-5,2.932277480275485e-5,2.932277480275485e-5,4.950502634553804e-5,4.260965713525314e-5,4.260965713525314e-5
RPL36,-0.7645535950533314,2.554081434647436e-15,1.4354862218223898e-9,1.4354862218223898e-9,1.827150564786243e-14,4.4500072876494084e-9,4.4500072876494084e-9
NUP205,-1.261162596533692,2.7609701861003828e-11,0.146557628694867,0.146557628694867,1.6048139206708474e-10,0.1725298666914257,0.1725298666914257
PSMC1,-0.16743569750070098,0.04004884621078074,3.5919833510857e-7,3.5919833510857e-7,0.10345951937785025,6.681089033019403e-7,6.681089033019403e-7
RPS19,-0.36152530137430816,3.610457481496573e-10,8.590649686083448e-6,8.590649686083448e-6,1.865403032106563e-9,1.3774662427685527e-5,1.3774662427685527e-5
NUP93,-2.564894539040667,3.0616707520995084e-22,1,1,4.745589665754238e-21,1,1
RPL9,-0.027037916224457614,0.027838906302887656,1.8789567662949256e-5,1.8789567662949256e-5,0.0739719510333872,2.8184351494423885e-5,2.8184351494423885e-5
POLR2A,-1.4867850857113971,2.9196480035832303e-13,0.13020905429073254,0.13020905429073254,1.939480459523146e-12,0.15524925703895032,0.15524925703895032
COPB1,-1.3766128529123152,1.2183230183011132e-11,0.3669046502302951,0.3669046502302951,7.553602713466903e-11,0.3922084192116948,0.3922084192116948
RPL5,-0.3647160244123082,5.983145494778962e-9,0.0010921605206981383,0.0010921605206981383,2.7821626550722173e-8,0.0014305764566891106,0.0014305764566891106
PSMD7,-0.6343658190314643,1.0048637132133877e-10,0.6852324445577593,0.6852324445577593,5.49719560757912e-10,0.716029408358108,0.716029408358108
RPS27,-0.7345754785816974,2.0443534596570825e-6,0.34379270075136215,0.34379270075136215,8.64203962491403e-6,0.3761496608220786,0.3761496608220786
RPS11,-0.7418133590124716,1.7781133975751248e-4,1.8672248300880857e-4,1.8672248300880857e-4,5.334340192725375e-4,2.631089533305939e-4,2.631089533305939e-4
RPL3,-0.16618984545759696,5.703054308922468e-6,4.547918423220711e-9,4.547918423220711e-9,2.1215362029191584e-5,1.1748789259986837e-8,1.1748789259986837e-8
RPL27,0.006898922322690027,0.07061840504309443,2.204780443295988e-11,2.204780443295988e-11,0.1775003153785887,1.281528632665793e-10,1.281528632665793e-10
NUP133,-0.3672452620370531,4.520103722053334e-9,3.668326165222282e-5,3.668326165222282e-5,2.2124718218471582e-8,5.248528205625726e-5,5.248528205625726e-5
PSMD6,-0.4211036227461583,2.3065467914161806e-6,0.0028308614694660026,0.0028308614694660026,9.326471808769774e-6,0.0036064399542512088,0.0036064399542512088
RPS3A,0.012317749079373552,0.28287322287031136,4.7617195600169995e-11,4.7617195600169995e-11,0.6745438391522809,2.0209479471615427e-10,2.0209479471615427e-10
COPS4,-0.08586244111335439,8.989870653460387e-5,0.0010207932370183965,0.0010207932370183965,2.9859213241850566e-4,0.0013561967291815839,0.0013561967291815839
NUP54,-0.28639348643300017,2.660418000414333e-7,0.032255336897476325,0.032255336897476325,1.1781851144692046e-6,0.03947034646664866,0.03947034646664866
COPA,-0.40627957018102645,0.006503321717185791,0.0040304649697585895,0.0040304649697585895,0.018327543021159957,0.005065314083615525,0.005065314083615525
RPL35A,0.04037153410770857,0.010452115688028521,1.1608004419019541e-8,1.1608004419019541e-8,0.028589610558430952,2.6988610274220434e-8,2.6988610274220434e-8
RPL18A,-0.12564829097882452,0.0012704154831190912,6.158374825276857e-10,6.158374825276857e-10,0.0036921449978148586,1.974927099140509e-9,1.974927099140509e-9
POLR2F,-0.11604113147098112,1.3992506609405614e-4,0.15277807924212333,0.15277807924212333,4.3376770489157403e-4,0.17760451711896838,0.17760451711896838
PSMB3,0.1021166027002047,0.2364995430284578,9.246246944824114e-14,9.246246944824114e-14,0.5788015132012256,9.55445517631825e-13,9.55445517631825e-13
NUP98,-0.15063728289769962,1.2993478059268216e-4,0.20965138081725956,0.20965138081725956,4.1668739983170486e-4,0.23491058332536313,0.23491058332536313
RPTN,0.28265800709228583,0.999999997721166,3.954614686989343e-8,3.954614686989343e-8,1,8.35861740659111e-8,8.35861740659111e-8
DMRTC2,0.3233337066526323,0.9774428623065252,5.752284934582449e-4,5.752284934582449e-4,1,7.867095572296584e-4,7.867095572296584e-4
RPS9,0.2398130075480792,0.9999999999998329,1.923063649050347e-16,1.923063649050347e-16,1,5.162383667660907e-15,5.162383667660907e-15
COPS2,0.18213222086027572,0.9601728335179041,1.4343824013385975e-7,1.4343824013385975e-7,1,2.7791159025935326e-7,2.7791159025935326e-7
CRYGB,0.28705566603108384,0.9999999997899771,6.880364001710051e-12,6.880364001710051e-12,1,4.5705275154216764e-11,4.5705275154216764e-11
POU4F2,0.20131353096848842,0.961757994251342,3.444959455907841e-8,3.444959455907841e-8,1,7.62812450951022e-8,7.62812450951022e-8
IL1F10,0.27730977377377497,1,8.480547794096512e-15,8.480547794096512e-15,1,1.5773818897019513e-13,1.5773818897019513e-13
TAS2R9,0.013001815282079221,0.9948233107455988,3.4890972569511497e-7,3.4890972569511497e-7,1,6.622164181560345e-7,6.622164181560345e-7
CABP5,0.4164058512270925,0.9999997902395155,4.216038578630269e-7,4.216038578630269e-7,1,7.688070349266962e-7,7.688070349266962e-7
NPSR1,0.2758417217590307,0.9999999999616594,3.6973293437789175e-10,3.6973293437789175e-10,1,1.2735245517460715e-9,1.2735245517460715e-9
NLRP5,0.26745237484592865,0.9999999770094317,7.003060125321106e-7,7.003060125321106e-7,1,1.2143063526743555e-6,1.2143063526743555e-6
VN1R2,0.10572259662888128,0.9957271861207205,5.778473938091727e-9,5.778473938091727e-9,1,1.4524272330879207e-8,1.4524272330879207e-8
TAAR8,0.30456550332818083,0.9999999999877106,4.2267864411220095e-10,4.2267864411220095e-10,1,1.4038969250869532e-9,1.4038969250869532e-9
TPH2,0.46751616354214826,0.9999467951128825,1.8147313260981292e-9,1.8147313260981292e-9,1,5.114242828094728e-9,5.114242828094728e-9
RXFP2,0.26399436335865306,0.9999999999903488,1.5148454072721449e-9,1.5148454072721449e-9,1,4.544536221816435e-9,4.544536221816435e-9
TAAR1,0.2643479568821418,0.9999999999955606,5.144531918448792e-11,5.144531918448792e-11,1,2.080180297459729e-10,2.080180297459729e-10
COPS8,0.28108399192034456,0.9999999999990039,4.780737079306875e-11,4.780737079306875e-11,1,2.0209479471615427e-10,2.0209479471615427e-10
ADH7,0.25190214535374406,0.9999999999994296,1.0309885053224647e-12,1.0309885053224647e-12,1,9.588193099498922e-12,9.588193099498922e-12
