gene	aRRA	p_value	p_value (adj.)	significant	# sgRNAs	# signif. sgRNAs	avg. logFC
RPL11	1.85119489063e-07	0.0	0.0	True	14	9	-1.45766119466
COPZ1	5.98889734771e-07	0.0	0.0	True	14	9	-1.34775891732
RPS24	5.99334126218e-07	0.0	0.0	True	18	10	-0.474921122419
RPL34	2.43400108174e-06	0.0147058823529	0.227941176471	False	9	7	-2.2368221983
PSMD1	9.05020757722e-06	0.0147058823529	0.227941176471	False	10	7	-1.51778724882
RPL6	1.65209404413e-05	0.0147058823529	0.227941176471	False	9	6	-1.97884779623
RPS8	2.1393232815e-05	0.0294117647059	0.248663101604	False	12	7	-0.685381414067
RPL36	2.81379796948e-05	0.0294117647059	0.248663101604	False	14	5	0.0516234068222
RPS19	3.54531381438e-05	0.0294117647059	0.248663101604	False	16	7	0.0917452632352
NUP93	3.581012928e-05	0.0294117647059	0.248663101604	False	6	6	-2.9170614039
RPS7	6.96465827236e-05	0.0294117647059	0.248663101604	False	13	7	-0.797353889784
PSMA3	0.000123962035533	0.0588235294118	0.420814479638	False	7	5	-2.08755598754
POLA1	0.00016527062667	0.0588235294118	0.420814479638	False	9	6	-0.589022348207
POLR2D	0.000290683562048	0.0735294117647	0.455882352941	False	6	5	-1.71241546301
RPL30	0.000305500119178	0.0735294117647	0.455882352941	False	10	3	0.209935434324
NUP205	0.000582773889896	0.0882352941176	0.512867647059	False	7	5	-1.20608030467
PSMC2	0.000776133788559	0.102941176471	0.563148788927	False	13	4	0.198653296642
NUP54	0.000873934405736	0.161764705882	0.835784313725	False	12	5	-0.0399206547581
PSMD7	0.00123355086984	0.176470588235	0.863777089783	False	8	4	-0.574326486494
POLR2A	0.00157207339782	0.205882352941	0.911764705882	False	5	4	-1.99927757305
PSMD11	0.00166798809111	0.205882352941	0.911764705882	False	8	3	0.153436144163
RPS11	0.0035305137468	0.25	1.0	False	8	3	0.0579251873439
NUP133	0.00374855600462	0.279411764706	1.0	False	7	4	-0.239719875643
RPL3	0.00392917730458	0.279411764706	1.0	False	12	4	0.133019283187
COPB1	0.00613010520536	0.367647058824	1.0	False	4	3	-1.41281263662
PSMD6	0.00879822829767	0.441176470588	1.0	False	7	3	0.0485884493302
RPS27	0.00917795663476	0.441176470588	1.0	False	4	3	-0.980750673538
RPL5	0.0108060937456	0.485294117647	1.0	False	7	3	0.174364806232
COPA	0.0131193651543	0.529411764706	1.0	False	8	3	-0.0037308323789
NUP98	0.0171110197433	0.588235294118	1.0	False	4	3	-0.237966625716
RPL27	0.0283500789944	0.647058823529	1.0	False	10	2	0.276237093921
RPL9	0.030356557175	0.647058823529	1.0	False	12	2	0.00325713543235
RPL18A	0.0444512089245	0.691176470588	1.0	False	7	2	0.263515124344
PSMC1	0.0475916902649	0.705882352941	1.0	False	10	2	0.243662387004
RPL35A	0.0521684326962	0.720588235294	1.0	False	10	2	0.0559201548807
COPS4	0.0562585612951	0.735294117647	1.0	False	5	2	0.20848502809
POLR2F	0.0634184300166	0.764705882353	1.0	False	6	2	-0.0100680333748
PSMB3	0.0671591398725	0.794117647059	1.0	False	7	2	0.27108080957
RPS3A	0.163982430454	0.838235294118	1.0	False	6	1	0.238120620235
