sgRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TRCN0000117565,5792.671095732822,-7.298500691318516,1.3578886771324887,-5.374888836050294,7.662994435961504e-8,1.2314566497089014e-7
TRCN0000074712,4631.853654042459,-5.442962714985206,1.8476624730641544,-2.9458641902049476,0.0032205376955154364,0.003912483460334403
TRCN0000074994,4518.616614966814,-6.849307763412164,2.7442278770833624,-2.4958961391689485,NA,NA
TRCN0000074765,3176.7328265150068,-6.870522741244956,1.0123715712177648,-6.786562302397053,1.1483692590788967e-11,2.276853336182401e-11
TRCN0000077925,5221.895956862439,-8.964796585209276,2.353105125925607,-3.8097730893697,NA,NA
TRCN0000117564,7732.19816366806,-7.863663936632961,1.5186671909308864,-5.178003438536674,NA,NA
TRCN0000074916,2700.8308668377563,-14.693728164551148,1.2169353496744681,-12.07437039977657,1.4426418431275146e-33,7.773293695910608e-33
TRCN0000007174,10363.122828174319,-7.641981468220496,2.8138182758749433,-2.715875980244054,NA,NA
TRCN0000074981,3217.4346405114034,-14.946169150914987,1.217474789299674,-12.276368498367384,1.2132287975172977e-34,6.614985586463362e-34
TRCN0000058107,8494.183430166335,-8.686864662310954,1.4751892457652152,-5.888644244965922,3.893766103977561e-9,6.8066598306172625e-9
TRCN0000077927,3123.862905780284,-7.0383808785830215,1.0431531156638048,-6.747217424648333,1.5070735698028697e-11,2.9497422861953605e-11
TRCN0000118343,1986.4678431247987,-6.402785149131547,2.586592906646001,-2.4753741234966693,0.013309667031233555,0.015751492248850047
TRCN0000003904,5469.148869473051,-15.71156676720585,1.208260467771236,-13.003460086869756,1.1693061773466558e-38,7.5428482989404e-38
TRCN0000117560,7753.086156533408,-4.629859524953094,0.27823548920556257,-16.640075420186665,3.5716796544574895e-62,4.811262593357442e-61
TRCN0000007171,5369.308528289804,-8.37744615713017,1.9746701790149435,-4.242453370774671,2.210894876625928e-5,3.106103845075691e-5
TRCN0000117712,33599.1470382903,-8.80714792116976,1.6225322077976658,-5.428026561718665,NA,NA
TRCN0000003906,4672.405105243548,-9.342558819818038,2.2685239848752414,-4.118342535546009,3.81607186897812e-5,5.296245199975694e-5
TRCN0000074794,4438.970975589577,-5.722333430153527,0.8131327091515519,-7.037391763669658,1.9587157572824888e-12,4.0228332593514796e-12
TRCN0000117507,4039.138917202403,-6.286342511352822,0.9690767896031788,-6.48693950654517,8.75974886204824e-11,1.664715758845682e-10
TRCN0000003907,10509.73396818793,-6.225736364535934,0.3478219896449714,-17.899202896546775,1.1962176409192045e-71,2.0291395538555393e-70
TRCN0000155168,4775.138591607006,-15.515847998523293,1.2009322740714552,-12.91983597536334,3.478822684643192e-38,2.1531091750899755e-37
TRCN0000117776,1126.8750644268334,-7.248822384139596,2.27789548845634,-3.182245375555795,0.0014613795048831412,0.0018187821011860835
TRCN0000117715,19740.763383192076,-6.74316119409134,0.524778325712699,-12.849542108915196,8.652085021285342e-38,5.214019657564061e-37
TRCN0000117774,4806.649189183889,-5.154876603749544,3.017700740882185,-1.7082133207955486,NA,NA
TRCN0000151585,8470.35950913649,-9.01064321581474,1.647866575461777,-5.468066013348024,4.5497244777020094e-8,7.442049324241144e-8
TRCN0000117713,11193.686308949236,-5.977899746510169,0.21980076285437,-27.196901725363226,7.066721156928757e-163,5.394263816455618e-161
TRCN0000117714,10771.256791649126,-6.393122301772557,1.864519811826362,-3.4288304480445673,NA,NA
TRCN0000077926,6408.831259886638,-5.367920806314731,0.600678302354735,-8.936432005737185,4.019382570874896e-19,1.157784413497297e-18
TRCN0000117508,7451.47079285835,-5.748772233627317,0.17659564490529694,-32.55330694429195,1.8799277146181447e-232,1.7220137865902203e-230
TRCN0000074782,8819.19600723635,-7.559234334922402,1.6038363574426069,-4.713220460331725,2.4383214452891794e-6,3.6856475971697828e-6
TRCN0000058106,16650.870867587855,-7.4448477413818805,0.6718995536593634,-11.080298685770874,1.5635010541771186e-28,6.755504554840758e-28
TRCN0000117676,14985.90694598183,-6.203817213885941,0.6659891590811093,-9.315192491189473,1.2173160504918369e-20,3.7418171216460487e-20
TRCN0000021365,14899.603559010404,-6.766094149404355,0.6213208823450995,-10.889854729920813,1.2884563040827308e-27,5.364663520635371e-27
TRCN0000003882,2672.326352345317,-6.354322698791474,0.3254110887658882,-19.527062593011358,6.465290071878788e-85,1.4805514264602423e-83
TRCN0000074993,7279.766813594668,-3.5590664831962435,0.35906020723413784,-9.912171862796896,3.6854610341784163e-23,1.2411332012159668e-22
TRCN0000003883,5820.7351758261975,-8.244264130243273,2.5322959732034085,-3.2556479248411483,NA,NA
TRCN0000059961,5522.751837846969,-8.340798539021343,2.5305772644268862,-3.296006273458056,NA,NA
TRCN0000074778,12371.642525632162,-5.505070289999206,0.24232256400415125,-22.71794338518512,2.978292231143046e-114,1.2400525835122864e-112
