Gene_ID,Well_ID,Score,LogP,OPI_Hit,#hitWell,#totalWell,rank,OPI_Rank,Cutoff_Rank,EXP_Rank
OR52E8,OR52E8-10,0.819200867835834,-7.69897512196243,1,10,10,40,1,40,1
OR52E8,OR52E8-7,0.826496138996139,-7.69897512196243,1,10,10,49,2,49,2
OR52E8,OR52E8-3,0.829497016197783,-7.69897512196243,1,10,10,52,3,52,3
OR52E8,OR52E8-6,0.829622299191819,-7.69897512196243,1,10,10,53,4,53,4
OR52E8,OR52E8-2,0.84613987284287,-7.69897512196243,1,10,10,75,5,75,5
OR52E8,OR52E8-4,0.855281135049921,-7.69897512196243,1,10,10,87,6,87,6
OR52E8,OR52E8-9,0.857632933104631,-7.69897512196243,1,10,10,92,7,92,7
OR52E8,OR52E8-8,0.878658709860756,-7.69897512196243,1,10,10,121,8,121,8
OR52E8,OR52E8-1,0.895099389883881,-7.69897512196243,1,10,10,148,9,148,9
OR52E8,OR52E8-5,0.903518728717367,-7.69897512196243,1,10,10,167,10,167,10
TGM6,TGM6-12,0.822833918344726,-4.93695016136624,1,13,14,44,11,44,11
TGM6,TGM6-5,0.831174838112858,-4.93695016136624,1,13,14,55,12,55,12
TGM6,TGM6-3,0.858713692946058,-4.93695016136624,1,13,14,94,13,94,13
TGM6,TGM6-1,0.872790351891624,-4.93695016136624,1,13,14,114,14,114,14
TGM6,TGM6-7,0.873600519227649,-4.93695016136624,1,13,14,115,15,115,15
TGM6,TGM6-13,0.898641204553801,-4.93695016136624,1,13,14,156,16,156,16
TGM6,TGM6-14,0.907904411764706,-4.93695016136624,1,13,14,179,17,179,17
TGM6,TGM6-2,0.915398886827458,-4.93695016136624,1,13,14,189,18,189,18
TGM6,TGM6-8,0.922182109907742,-4.93695016136624,1,13,14,199,19,199,19
TGM6,TGM6-6,0.949526813880126,-4.93695016136624,1,13,14,262,20,262,20
TGM6,TGM6-11,0.965413533834587,-4.93695016136624,1,13,14,294,21,294,21
TGM6,TGM6-10,0.976897032463653,-4.93695016136624,1,13,14,317,22,317,22
TGM6,TGM6-9,0.98778071334214,-4.93695016136624,1,13,14,341,23,341,23
POU4F2,POU4F2-8,0.762167487684729,-4.77286097606837,1,8,10,8,24,8,8
POU4F2,POU4F2-2,0.829447322970639,-4.77286097606837,1,8,10,51,25,51,25
POU4F2,POU4F2-3,0.83502633559067,-4.77286097606837,1,8,10,59,26,59,26
POU4F2,POU4F2-4,0.840220385674931,-4.77286097606837,1,8,10,64,27,64,27
POU4F2,POU4F2-5,0.849110611326927,-4.77286097606837,1,8,10,78,28,78,28
POU4F2,POU4F2-7,0.873624541513838,-4.77286097606837,1,8,10,116,29,116,29
POU4F2,POU4F2-10,0.88810641627543,-4.77286097606837,1,8,10,138,30,138,30
POU4F2,POU4F2-6,0.900347624565469,-4.77286097606837,1,8,10,160,31,160,31
PLA2G2E,PLA2G2E-1,0.838762362762,-4.72170523061387,1,10,10,62,32,62,32
PLA2G2E,PLA2G2E-10,0.857670979667283,-4.72170523061387,1,10,10,93,33,93,33
PLA2G2E,PLA2G2E-4,0.86030308308657,-4.72170523061387,1,10,10,96,34,96,34
PLA2G2E,PLA2G2E-6,0.90433783395576,-4.72170523061387,1,10,10,168,35,168,35
PLA2G2E,PLA2G2E-5,0.925330812854442,-4.72170523061387,1,10,10,207,36,207,36
PLA2G2E,PLA2G2E-9,0.936853002070393,-4.72170523061387,1,10,10,233,37,233,37
PLA2G2E,PLA2G2E-2,0.939021391689206,-4.72170523061387,1,10,10,240,38,240,38
PLA2G2E,PLA2G2E-8,0.941026145075683,-4.72170523061387,1,10,10,243,39,243,39
PLA2G2E,PLA2G2E-3,0.957388105456775,-4.72170523061387,1,10,10,275,40,275,40
PLA2G2E,PLA2G2E-7,0.980494148244473,-4.72170523061387,1,10,10,327,41,327,41
TAAR1,TAAR1-9,0.800805452292441,-4.32307934986985,1,10,10,29,42,29,29
TAAR1,TAAR1-2,0.806134355725954,-4.32307934986985,1,10,10,31,43,31,31
TAAR1,TAAR1-7,0.821126302083333,-4.32307934986985,1,10,10,43,44,43,43
TAAR1,TAAR1-6,0.860815602836879,-4.32307934986985,1,10,10,97,45,97,45
TAAR1,TAAR1-8,0.90786602144416,-4.32307934986985,1,10,10,178,46,178,46
TAAR1,TAAR1-1,0.932463545663853,-4.32307934986985,1,10,10,228,47,228,47
TAAR1,TAAR1-10,0.936854190585534,-4.32307934986985,1,10,10,234,48,234,48
TAAR1,TAAR1-5,0.953851492019431,-4.32307934986985,1,10,10,272,49,272,49
TAAR1,TAAR1-3,0.960029246892518,-4.32307934986985,1,10,10,280,50,280,50
TAAR1,TAAR1-4,1,-4.32307934986985,1,10,10,358,51,357,51
FAM71B,FAM71B-10,0.767062766605728,-3.88073193274767,1,8,10,9,52,9,9
FAM71B,FAM71B-1,0.818025751072961,-3.88073193274767,1,8,10,38,53,38,38
FAM71B,FAM71B-8,0.831000792183787,-3.88073193274767,1,8,10,54,54,54,54
FAM71B,FAM71B-5,0.834409035901573,-3.88073193274767,1,8,10,58,55,58,55
FAM71B,FAM71B-3,0.862103957605141,-3.88073193274767,1,8,10,100,56,100,56
FAM71B,FAM71B-6,0.886723091390955,-3.88073193274767,1,8,10,132,57,132,57
FAM71B,FAM71B-2,0.894497678553788,-3.88073193274767,1,8,10,146,58,146,58
VN1R2,VN1R2-10,0.813442481688927,-3.85786882621469,1,9,10,34,59,34,34
VN1R2,VN1R2-9,0.871292106586224,-3.85786882621469,1,9,10,111,60,111,60
VN1R2,VN1R2-2,0.874250440917108,-3.85786882621469,1,9,10,117,61,117,61
VN1R2,VN1R2-5,0.889157273215244,-3.85786882621469,1,9,10,140,62,140,62
VN1R2,VN1R2-8,0.903514276749294,-3.85786882621469,1,9,10,166,63,166,63
VN1R2,VN1R2-4,0.915750392688848,-3.85786882621469,1,9,10,190,64,190,64
VN1R2,VN1R2-7,0.923033549478433,-3.85786882621469,1,9,10,201,65,201,65
VN1R2,VN1R2-6,0.926751024772768,-3.85786882621469,1,9,10,210,66,210,66
LHX5,LHX5-2,0.74659894794123,-3.72644144922556,1,9,10,3,67,3,3
LHX5,LHX5-4,0.799249530956848,-3.72644144922556,1,9,10,25,68,25,25
LHX5,LHX5-10,0.826807659331237,-3.72644144922556,1,9,10,50,69,50,50
LHX5,LHX5-5,0.91210277214334,-3.72644144922556,1,9,10,184,70,184,70
LHX5,LHX5-7,0.919575471698113,-3.72644144922556,1,9,10,195,71,195,71
LHX5,LHX5-1,0.924561924561925,-3.72644144922556,1,9,10,205,72,205,72
LHX5,LHX5-9,0.946298984034833,-3.72644144922556,1,9,10,254,73,254,73
LHX5,LHX5-8,0.965266439067834,-3.72644144922556,1,9,10,292,74,292,74
LHX5,LHX5-6,0.971416561580496,-3.72644144922556,1,9,10,300,75,300,75
TAAR8,TAAR8-9,0.855171411969785,-3.71382456371015,1,9,10,86,76,86,76
TAAR8,TAAR8-1,0.856508102456874,-3.71382456371015,1,9,10,90,77,90,77
TAAR8,TAAR8-7,0.866874550251859,-3.71382456371015,1,9,10,104,78,104,78
